X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Indium,Human Health,1599,0.8523713739752837,0.0,0.7265369591725133,0.715749668905953,-0.11781620720748265,0.7624015890057214
Indium,Natural Resources,1601,0.7906846889363789,0.0,0.6251822773184181,0.6918845247503714,4.344124661020311,22086.386154251126
Hydrogen,Ecosystem Quality,1601,0.7426783175781265,9.077538516276993e-281,0.5515710834006766,0.5327907545805304,-4.328760352431373,4.690721489392695e-05
Hydrogen,Human Health,1599,0.7758863182947248,8.3e-322,0.6019995789169432,0.6246835646246203,-1.639204449421592,0.02295067962538138
Hydrogen,Natural Resources,1601,0.7683038426353994,3.87763081264e-312,0.5902907946083208,0.6448637694873961,2.909109991593172,811.1664719194216
Holmium,Ecosystem Quality,4,0.9939857477911981,0.006014252208801807,0.9880076668120275,0.24729659832058068,-3.5957919922967694,0.0002536343134961726
Holmium,Human Health,4,0.9654383906761478,0.03456160932385233,0.9320712861913503,0.19787891902620994,-0.8103837314206661,0.15474487288368974
Holmium,Natural Resources,4,0.9999129631679573,8.70368320426973e-05,0.9998259339113252,0.918420396443918,5.509616855357573,323308.3010091502
Helium,Ecosystem Quality,1601,0.7529025713052853,8.044378652057465e-293,0.5668622818781103,0.48476310704136827,-2.9905285096421608,0.0010220484651299489
Helium,Human Health,1599,0.8013096861673528,0.0,0.6420972131456217,0.5791494192578144,-0.030106185160425625,0.9330261476703798
Helium,Natural Resources,1601,0.7882851315261035,0.0,0.6213934485851265,0.593817718826377,4.555242582592977,35912.24726174132
Graphite,Ecosystem Quality,1601,0.7895606137642358,0.0,0.6234059628077568,0.5942877196852031,-3.255639111272145,0.0005550867857156523
Graphite,Human Health,1599,0.8463223372973014,0.0,0.7162614986083675,0.7149239730744156,-0.33406714266729165,0.46337527559070424
Graphite,Natural Resources,1601,0.7756536629146655,6.8e-322,0.6016386047929374,0.6830589167807063,4.1139636135399265,13000.606505920228
Gold,Ecosystem Quality,1601,0.7634343140978254,7.172270384490088e-306,0.5828319519420173,0.5022978501749443,-2.471123978451947,0.003379683422947548
Gold,Human Health,1599,0.8124415767621525,0.0,0.6600613156517728,0.6000122581771742,0.5900351079279336,3.8907659628268023
Gold,Natural Resources,1601,0.7933894738917161,0.0,0.6294668572821742,0.6107382418908451,5.17038303356015,148041.3488940478
Gallium,Ecosystem Quality,1601,0.820566803558637,0.0,0.6733298791024389,0.6387035068508162,-0.28807656729989795,0.5151378163754311
Gallium,Human Health,1599,0.8798491810804722,0.0,0.7741345814479772,0.7689576714016249,3.239738790555369,1736.755930584763
Gallium,Natural Resources,1601,0.8249999012598176,0.0,0.6806248370787091,0.7513084805698218,7.6462263364657,44281909.13791724
Gadolinium,Ecosystem Quality,4,0.9939857477911987,0.006014252208801363,0.9880076668120289,0.2472965983205815,-3.801099348506303,0.00015808863568858393
Gadolinium,Human Health,4,0.9654383906761496,0.03456160932385055,0.9320712861913538,0.19787891902621088,-0.9746641865129213,0.10600730983504052
Gadolinium,Natural Resources,4,0.9999129631679571,8.703683204291934e-05,0.999825933911325,0.9184203964439205,4.747137853368323,55864.74919867984
