;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;emptied;parameters full;log parameters
fa76f4da58fc1866ab2df987ba9df6df;GLO;SSP5-Base-2030;fa76f4da58fc1866ab2df987ba9df6df;market for dimethyl malonate;dimethyl malonate;kilogram;3.194470978005081;0.016211180957782026;0.010673178822562478;1.2827951225611207e-07;2.241412269823546e-08;1.0757101801910579e-05;0.7396067503895888;;;
ec930d61448657bc9a92132556e1d363;GLO;SSP5-Base-2030;ec930d61448657bc9a92132556e1d363;market for exhaust air outlet, steel/aluminium, 85x365 mm;exhaust air outlet, steel/aluminium, 85x365 mm;unit;12.514270908948234;0.0467988336147721;0.05217733467020505;2.5808385260879597e-07;8.984006504501659e-08;6.694912216285095e-05;1.2176458597628619;;;
26bf40844012f61dbf4cfba27b5f4228;GLO;SSP5-Base-2030;26bf40844012f61dbf4cfba27b5f4228;market for fleece, polyethylene;fleece, polyethylene;kilogram;1.9630812878581885;0.06771314309123987;0.014031981875091679;3.290439457653521e-08;1.255516900395246e-08;5.796427287124386e-06;0.7858798245887544;;;
ddff069daa805b575e737187192b3402;GLO;SSP5-Base-2030;ddff069daa805b575e737187192b3402;market for tin;tin;kilogram;4.86299846536885;1.1388094350951823;0.015444632867605005;2.6037030899655237e-07;8.503893211210026e-08;0.00019921160357074327;2.5217565690219956;;;
8ef6c4a775fc42f0b436e5fd749a4890;GLO;SSP5-Base-2030;8ef6c4a775fc42f0b436e5fd749a4890;market for seal, natural rubber based;seal, natural rubber based;kilogram;1.0123073419321955;0.0063740569309149245;0.00848976273277254;1.9030361262642624e-08;1.7098714075693675e-08;4.0463243634788126e-06;0.641551892077872;;;
80310b5021efcb8abcf6d15a9f5ce58e;RoW;SSP5-Base-2030;80310b5021efcb8abcf6d15a9f5ce58e;market for cathode, NMC811, for Li-ion battery;cathode, NMC811, for Li-ion battery;kilogram;100.67790234645045;0.7225240092726606;1.3651541200837687;2.1378264203376085e-06;1.2321701262945303e-07;8.057038883185153e-05;5.380364436532867;;;
22db46f6ba1211c058e4da0ac386d3e7;GLO;SSP5-Base-2030;22db46f6ba1211c058e4da0ac386d3e7;market for polyethylene, high density, granulate;polyethylene, high density, granulate;kilogram;0.6989885344868293;0.0589287956032155;0.011682714123115983;1.798274511035824e-08;8.766197284495034e-09;3.927678600128803e-06;0.6548064691179781;;;
13565d77e9aebe4a571b3816886917f6;GLO;SSP5-Base-2030;13565d77e9aebe4a571b3816886917f6;market for furnace, logs, softwood storage area, 6kW;furnace, logs, softwood storage area, 6kW;unit;1136.579701140036;2.4451961743023682;0.5340654168737523;5.723833603270459e-06;2.005306156193699e-06;0.001728063359900492;34.07397159712533;;;
e542f5aaf1d9e3b8ed963dc8d891e640;RoW;SSP5-Base-2030;e542f5aaf1d9e3b8ed963dc8d891e640;market for ozone, liquid;ozone, liquid;kilogram;1.4045407727325063;0.0029147215875382207;0.0027444858864570914;3.0908958362347103e-07;3.463512031331297e-08;1.534005438810329e-05;0.32084476153477237;;;
9d318a9ed434e9ecc8a8e59eea1789e4;GLO;SSP5-Base-2030;9d318a9ed434e9ecc8a8e59eea1789e4;market for zinc oxide;zinc oxide;kilogram;0.6179467790187654;0.00048066981931221527;0.000920151636299653;1.6121872035602816e-08;3.790073843353935e-09;2.2532099227158395e-06;0.07921384922042396;;;
105d34b6b34a5de233596a08ebb30578;GLO;SSP5-Base-2030;105d34b6b34a5de233596a08ebb30578;market for scandium oxide;scandium oxide;kilogram;1829.041648138235;17.205030777264334;1.7448228611935632;8.182011524738346e-06;9.715296918264675e-06;0.011188271299089739;177.186545247214;;;
dc17e05e556b240e013fe6dcd19fad70;RoW;SSP5-Base-2030;dc17e05e556b240e013fe6dcd19fad70;market for pitch;pitch;kilogram;0.07931103745033134;0.00021035094294278976;0.005058755174035017;1.9738182042205923e-09;3.125004222652187e-09;1.3714146543844032e-06;0.4953387733167145;;;
762ed190bfd9605e38cb6d8b9a84e2ef;RoW;SSP5-Base-2030;762ed190bfd9605e38cb6d8b9a84e2ef;market for butyl acetate;butyl acetate;kilogram;1.3491237440700994;0.002116703175593368;0.007149914236819042;7.245987921122772e-08;1.814044145093712e-08;8.429864045878483e-06;0.6659746822827457;;;
0b5eb5e614c3cb3366c96126356958ce;GLO;SSP5-Base-2030;0b5eb5e614c3cb3366c96126356958ce;market for methyl formate;methyl formate;kilogram;0.9365747324788436;0.0015539468068457576;0.0045030120290720605;9.743258971185738e-08;1.1987322719984634e-08;5.663423477495472e-06;0.5525428795844237;;;
30a1dbfebc5d913e1af78c6a6a3055ce;GLO;SSP5-Base-2030;30a1dbfebc5d913e1af78c6a6a3055ce;market for manganese dioxide;manganese dioxide;kilogram;2.678208183080156;0.0017950480476321192;0.002557367757032865;7.859730663386159e-08;1.395203044405604e-08;7.140001720807821e-06;0.17953209222675082;;;
b845e03311dcb7f4c4cdae96748f6529;RoW;SSP5-Base-2030;b845e03311dcb7f4c4cdae96748f6529;market for sawnwood, paraná pine, dried (u=10%);sawnwood, paraná pine, dried (u=10%);cubic meter;443.03039303649155;0.517830643830132;2.8708727572839354;1.2778563195521044e-05;3.8505668158304656e-05;0.007036271961455924;73.90340925637831;;;
00a3f23c2a7974de40b339a016d4d2b6;RoW;SSP5-Base-2030;00a3f23c2a7974de40b339a016d4d2b6;market for concrete, 20MPa;concrete, 20MPa;cubic meter;303.6634353658329;0.23611683897901306;0.29044585302001735;1.1705952519550444e-06;1.0112161151642141e-06;0.0004225817589582594;13.009345038603163;;;
a1216e2aebabf2178d9e5b478c027d49;GLO;SSP5-Base-2030;a1216e2aebabf2178d9e5b478c027d49;market for fodder beet, Swiss integrated production;fodder beet, Swiss integrated production;kilogram;0.02060475503842644;2.0751158163638292e-05;7.693383857521353e-05;1.2590286409702984e-10;1.3087018319193474e-09;7.754992515119024e-08;0.0020515281075415724;;;
068b36f8228f2274f30e3f2a4021de4b;GLO;SSP5-Base-2030;068b36f8228f2274f30e3f2a4021de4b;market for fluorspar, 97% purity;fluorspar, 97% purity;kilogram;0.2896135712480514;0.0002728476374204927;0.0003066577500635189;3.698220159226759e-09;1.2074277230789025e-09;7.815539029657341e-07;0.012924461269562414;;;
1ca949cdaeebe4c0ee81bae977ec2ed4;GLO;SSP5-Base-2030;1ca949cdaeebe4c0ee81bae977ec2ed4;market for methyl-3-methoxypropionate;methyl-3-methoxypropionate;kilogram;1.1470736765711012;0.0013352862308713782;0.00595725305663262;2.5379183560795594e-08;1.0733983809820092e-08;4.976741226497137e-06;0.5210443517157455;;;
3fd33e23f03f15fa3343868a895f8e5c;RoW;SSP5-Base-2030;3fd33e23f03f15fa3343868a895f8e5c;market for concrete, 25MPa;concrete, 25MPa;cubic meter;407.2484528601166;0.40070779419736025;0.3608302243049695;1.5017860596932618e-06;1.2257778731774414e-06;0.0005174885551212028;15.664428496817248;;;
0fbaaf8add8672145bddbe1344d1c29d;RoW;SSP5-Base-2030;0fbaaf8add8672145bddbe1344d1c29d;market for xenon, gaseous;xenon, gaseous;kilogram;107.06094955550955;0.2565888416137923;0.2431081168106024;2.8405738787838872e-05;3.188239515733654e-06;0.0014046022000410799;29.13357004860231;;;
60eccfb05dccf174b2561c7776f81973;GLO;SSP5-Base-2030;60eccfb05dccf174b2561c7776f81973;market for fosetyl-Al;fosetyl-Al;kilogram;6.163712595652448;0.036328126246248385;0.012715372235511516;2.2698295620008058e-07;4.323980272123096e-08;2.049654935462688e-05;0.6934650428708242;;;
c51186a2547c55ba1ce703c75cd4dc61;GLO;SSP5-Base-2030;c51186a2547c55ba1ce703c75cd4dc61;market for amine oxide;amine oxide;kilogram;3.4260403150121332;0.002878016912136936;0.007150185797094918;4.700258788620914e-08;5.941676417339329e-08;1.1969639545349074e-05;0.44617719550587054;;;
11192763bb46848d8960aa1fba914d6b;GLO;SSP5-Base-2030;11192763bb46848d8960aa1fba914d6b;market for polyaluminium chloride;polyaluminium chloride;kilogram;0.954693340251678;0.0036429885940039413;0.0014377376245551736;3.210965877818617e-08;7.759871819910135e-09;7.268809290847971e-06;0.12394811440466463;;;
098d62da0cc835aa22548a7e64a89891;GLO;SSP5-Base-2030;098d62da0cc835aa22548a7e64a89891;market for heat and power co-generation unit, 50kW electrical, common components for heat+electricity;heat and power co-generation unit, 50kW electrical, common components for heat+electricity;unit;18810.812474286206;54.87850696616275;20.937140293228943;0.000683986396022988;0.00013949800093814236;0.08727492648354211;2016.381118466581;;;
be48ac439e1256e98c07f6c1c9ca7609;GLO;SSP5-Base-2030;be48ac439e1256e98c07f6c1c9ca7609;market for trimesoyl chloride;trimesoyl chloride;kilogram;2.6015998289099533;0.0457954891539278;0.01213127453590631;8.938986285488532e-08;4.058059005382024e-08;2.2605818123550488e-05;0.859176441228147;;;
d2bab273eb4b2cfebda5e83784e8599c;GLO;SSP5-Base-2030;d2bab273eb4b2cfebda5e83784e8599c;market for polystyrene, high impact;polystyrene, high impact;kilogram;0.5197922745749436;0.00016076150341934992;0.03550745152914914;7.654011561841497e-10;1.4220187800880267e-08;6.179931666238794e-06;0.7561332953374795;;;
14925d340289f8d9800e4c0c91119632;RoW;SSP5-Base-2030;14925d340289f8d9800e4c0c91119632;market for iron sulfate;iron sulfate;kilogram;0.4155940327566608;0.00030189180541495553;0.00035264038045962044;6.847951954468839e-09;1.22228820042853e-09;7.083119029941928e-07;0.015404371390654047;;;
9f1a495659062ffc1fc4c3dac57c6f36;GLO;SSP5-Base-2030;9f1a495659062ffc1fc4c3dac57c6f36;market for cabbage white;cabbage white;kilogram;0.8971450716388552;0.0002753906112886711;0.0006513042213547553;8.59616987431452e-09;2.758680490597355e-09;8.749386094289191e-07;0.025426537841831815;;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";
