;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;log parameters;emptied;parameters full
450aae493ff1888578dc5da507a117f6;RoW;SSP5-Base-2020;450aae493ff1888578dc5da507a117f6;market for cyclohexanone;cyclohexanone;kilogram;1.0332309377108488;0.0018574587056775327;0.009299972906651018;2.966367724646187e-08;1.9455551264571202e-08;1.0467288733773122e-05;0.7159659163916519;;;
6c34763c1a84b8172102b2add76d34cc;RoW;SSP5-Base-2020;6c34763c1a84b8172102b2add76d34cc;market for carbon monoxide;carbon monoxide;kilogram;0.6940324471167871;0.0012097859901989804;0.0036239138111725405;1.110611117491937e-07;1.3428699794400263e-08;6.243845443373819e-06;0.417786859464057;;;
ee96cdd1441e4db29b371c9c23b5445d;GLO;SSP5-Base-2020;ee96cdd1441e4db29b371c9c23b5445d;market for printed wiring board, through-hole mounted, unspecified, Pb containing;printed wiring board, through-hole mounted, unspecified, Pb containing;kilogram;23.83396502880514;0.5095457279311091;0.9482379505476131;3.3825989827033575e-06;4.001112703666738e-07;0.0002974049826127172;4.578565334639633;;;
c70b374f15f9c6f303b2f89cc0585ae4;GLO;SSP5-Base-2020;c70b374f15f9c6f303b2f89cc0585ae4;market for sweet sorghum grain;sweet sorghum grain;kilogram;0.124097999291261;0.00017118016483009683;0.00044031180515602224;2.3615625332549943e-09;7.1340428179032035e-09;7.89614129094122e-07;0.016268454092706306;;;
adf0a07677cab677862a2247e802e82e;RoW;SSP5-Base-2020;adf0a07677cab677862a2247e802e82e;market for sawnwood, beam, hardwood, raw, dried (u=10%);sawnwood, beam, hardwood, raw, dried (u=10%);cubic meter;139.07396890603906;0.197166460706884;0.34428199456452224;2.0865156974648834e-06;8.346661752813511e-06;0.0005089897091690024;8.731744922765696;;;
c45c0d36cda5bf84844ce0edd9c105a1;GLO;SSP5-Base-2020;c45c0d36cda5bf84844ce0edd9c105a1;market for trout;trout;kilogram;1.4555203679062048;0.010106562406092277;0.002791241855119105;1.7825069705308736e-08;3.1810697739403533e-08;5.541350959220365e-06;0.1486519293072047;;;
22db46f6ba1211c058e4da0ac386d3e7;GLO;SSP5-Base-2020;22db46f6ba1211c058e4da0ac386d3e7;market for polyethylene, high density, granulate;polyethylene, high density, granulate;kilogram;0.6972552165315254;0.05892489096869858;0.01167324775272863;2.5691900334670603e-08;9.096134606553182e-09;4.0972823863229025e-06;0.6553897261035344;;;
5dc11bfa4bf1247f83847e5dae499c87;GLO;SSP5-Base-2020;5dc11bfa4bf1247f83847e5dae499c87;market for phenyl acetic acid;phenyl acetic acid;kilogram;2.154383091941686;0.008944408999901968;0.01222407059375147;1.2862289161630864e-07;2.2447356892348717e-08;1.0353698872450026e-05;0.8182013963174375;;;
69bae82c2ec406b3e7bf14970e8b4f39;RoW;SSP5-Base-2020;69bae82c2ec406b3e7bf14970e8b4f39;market for printing ink, offset, without solvent, in 47.5% solution state;printing ink, offset, without solvent, in 47.5% solution state;kilogram;1.4809496861525988;0.003990532586405967;0.005036964045573836;4.316328139960409e-08;3.2349868968250985e-08;8.057647578948242e-06;0.46155571943747437;;;
92845125973b2a0581cdc0d662c0d64f;GLO;SSP5-Base-2020;92845125973b2a0581cdc0d662c0d64f;market for chassis, internet access equipment;chassis, internet access equipment;kilogram;6.441810994653599;0.029379635961070478;0.024507104417000748;1.587510866327088e-07;5.1846949742055404e-08;5.102087656429025e-05;0.4703968919692311;;;
