X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Waste - Hazardous,Ecosystem Quality,1601,0.8005765965549312,0.0,0.6409228869514773,0.6344499256843081,-12.290479479236925,4.59528638274003e-06
Waste - Hazardous,Human Health,1599,0.8651242430357965,0.0,0.7484399558882601,0.7724764281492564,-6.486627691535024,0.001523678668279143
Waste - Hazardous,Natural Resources,1601,0.8761149031507263,0.0,0.7675773235228062,0.8356571483440915,3.8247983757419948,45.823560293510006
Waste - Digested,Ecosystem Quality,1601,0.6105699648389099,3.485655604028925e-164,0.37279568196338786,0.4245165926335783,-9.436850873168272,7.973109695533798e-05
Waste - Digested,Human Health,1599,0.5737045890778266,1.2826957206702915e-140,0.3291369555289576,0.44935865691889126,-3.305590991812635,0.03667752931038984
Waste - Digested,Natural Resources,1601,0.4460370797912207,4.224368368530125e-79,0.1989490765486801,0.3732525648725397,6.772026296925661,873.0792205623549
Waste - Composted,Ecosystem Quality,1601,0.6103524554061257,4.891274031646294e-164,0.3725301198202867,0.424284088457198,-9.60711432232754,6.72486023681828e-05
Waste - Composted,Human Health,1599,0.5735015972059423,1.6929082320350294e-140,0.328904081997767,0.44910349283254564,-3.485795646954948,0.03062937855982431
Waste - Composted,Natural Resources,1601,0.4458826004908075,4.848738359173483e-79,0.198811293420445,0.37305183304852413,6.622338278756404,751.7007295800634
Waste - Circularity %,Ecosystem Quality,1601,-0.08768703253045533,0.0004437373913394433,0.007689015673997157,-0.16521828191542504,-11.346225198486701,1.1814001070260197e-05
Waste - Circularity %,Human Health,1599,-0.15394448436704375,6.094726601826415e-10,0.023698904267034804,-0.3266416149886189,-5.377227027751548,0.004620617024352363
Waste - Circularity %,Natural Resources,1601,-0.24338890311613537,5.0869342406850915e-23,0.059238158160075716,-0.551945384344273,4.954298184895126,141.7830659502588
Waste - Carbon Dioxide (Ccs),Ecosystem Quality,1601,0.8592684480586005,0.0,0.7383422658290357,0.8627330893889406,-16.298651416296405,8.348061261530309e-08
Waste - Carbon Dioxide (Ccs),Human Health,1599,0.8898261697468287,0.0,0.7917906123663122,1.0063822687788995,-11.110660877342177,1.4952068935888951e-05
Waste - Carbon Dioxide (Ccs),Natural Resources,1601,0.7935994565605341,0.0,0.6298000974531751,0.9590065115102536,-0.4249621057986239,0.6537945596831416
Vegetable Oil,Ecosystem Quality,1601,0.8239525465357102,0.0,0.6788977989426818,0.7480004608897083,-8.23271413909108,0.00026581389441864396
Vegetable Oil,Human Health,1599,0.7296318857275327,7.23332084798512e-266,0.5323626886703151,0.7462318491472116,-2.2177787650716962,0.1088506233019075
Vegetable Oil,Natural Resources,1601,0.6030198039228398,3.8324169868187697e-159,0.3636328839231405,0.6588762363381597,7.83567088478446,2529.2317634105757
Uranium,Ecosystem Quality,1601,0.7776056729206332,0.0,0.6046705825583512,0.5739206672839576,-8.077818532166866,0.0003103473101888862
Uranium,Human Health,1599,0.8591439271971286,0.0,0.7381282876397051,0.7145571762112929,-1.2694617359251925,0.2809828240411754
Uranium,Natural Resources,1601,0.7859024871953466,0.0,0.6176427193798322,0.6981258369068405,9.049934569490505,8517.98057052673
Tungsten,Ecosystem Quality,2,1.0,1.0,1.0,1.4949280135287586,-19.31612715792234,4.084252312092903e-09
Tungsten,Human Health,2,1.0,1.0,1.0,1.1025261839779297,-8.896078477513102,0.0001369248288139235
Tungsten,Natural Resources,2,1.0,1.0,1.0,1.070237333662431,0.29287407661865217,1.3402740079700592
Titanium,Ecosystem Quality,1601,0.7766391517323946,3e-323,0.6031683720036136,0.6505349820309906,-9.892264845198156,5.056429590810913e-05
Titanium,Human Health,1599,0.8337806027075365,0.0,0.6951900934513426,0.7866198208636769,-3.577559619056209,0.02794380865191867
Titanium,Natural Resources,1601,0.7960787325152265,0.0,0.6337413483630496,0.8025646018747604,6.866969391805366,960.0346636755472
Tin,Ecosystem Quality,1601,0.789820890986148,0.0,0.623817039838153,0.6659467051558567,-9.815991585759349,5.457189312107721e-05
Tin,Human Health,1599,0.8735107024874084,0.0,0.7630209473600454,0.8296872140821673,-3.4317342921339713,0.03233082103435803
Tin,Natural Resources,1601,0.7786704314405775,0.0,0.6063276407998552,0.7902002179446022,6.891626073819371,984.0001739388583
Tellurium,Ecosystem Quality,1601,0.7681117807795651,6.89705362458e-312,0.5899957077723548,0.6375681971970134,-4.467553200045743,0.011475359436937076
Tellurium,Human Health,1599,0.8468948808041159,0.0,0.717230939132218,0.7922954951362653,3.209134758217653,24.757655596532196
Tellurium,Natural Resources,1601,0.7867271052422941,0.0,0.6189395381229199,0.7859572723028693,13.552903224094308,769043.815489614
Tantalum,Ecosystem Quality,1601,0.771028104763727,1.0346529e-315,0.5944843383355451,0.6292097613496986,-7.553623580031945,0.0005242071747970536
Tantalum,Human Health,1599,0.850429252325095,0.0,0.7232299132102202,0.782019784718908,-0.6248525977450834,0.5353403330757358
Tantalum,Natural Resources,1601,0.7901195964463984,0.0,0.6242889766886195,0.7760517450179288,9.750938663442582,17170.338416326715
Strontium,Ecosystem Quality,1601,0.7651163532920335,5.106356317727517e-308,0.5854030340748999,0.5299499774330557,-7.16058084827636,0.0007766033334774984
Strontium,Human Health,1599,0.8455512952852439,0.0,0.7149569929585537,0.6596327104745925,-0.12769098423193626,0.8801253097256385
Strontium,Natural Resources,1601,0.7501329585385152,1.691311522154904e-289,0.5626994554857458,0.625342930929182,10.015325836852007,22366.639883949043
Silver,Ecosystem Quality,1601,0.8020122312830361,0.0,0.6432236191275946,0.69976099121531,-6.586515169089673,0.0013788366134610502
Silver,Human Health,1599,0.8591477843930297,0.0,0.7381349154274521,0.8444674599144187,0.40797207366193433,1.5037651659293327
Silver,Natural Resources,1601,0.7681553492188449,6.052730768703e-312,0.5900626405335256,0.8066597735566678,10.564613169587266,38739.42791616615
Silicon,Ecosystem Quality,1601,0.7617689769161775,9.210310128426331e-304,0.5802919741919199,0.6093550112464191,-10.109512201319998,4.069065082672716e-05
Silicon,Human Health,1599,0.8421881391272128,0.0,0.7092808616865575,0.7591968086576841,-3.7980115144838056,0.022415300069168663
