;activity type;database;location;name;reference product;unit;code;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources
495616378b5d9013197ab093e3181662;market activity;ecoinvent-3.9.1-cutoff;GLO;market for air filter, in exhaust air valve;air filter, in exhaust air valve;unit;495616378b5d9013197ab093e3181662;0.17767115636443762;0.0007968761785004878;0.00048056336146585143;2.997731680287075e-08;1.8594096434766855e-09;9.781255305931423e-07;0.03823783449556496
a8e38c246d88c9f2aff00eed34addb92;market activity;ecoinvent-3.9.1-cutoff;GLO;market for sanitary landfill facility;sanitary landfill facility;unit;a8e38c246d88c9f2aff00eed34addb92;8709879.224161943;37390.1267415748;48130.533338491245;0.10813143794471675;0.06627132923533444;21.566986944464162;3045450.7651190483
f26980d768519c377a7ec264b866e732;market activity;ecoinvent-3.9.1-cutoff;GLO;market for refractory, basic, packed;refractory, basic, packed;kilogram;f26980d768519c377a7ec264b866e732;0.4861978613703803;0.0007092764008237983;0.0026752209199547867;1.734262195036317e-08;1.0691410624245823e-08;6.156591796889657e-06;0.5631364662380893
af20dbb65d6aaeefc374874086d53647;market activity;ecoinvent-3.9.1-cutoff;GLO;market for heat and power co-generation unit, organic Rankine cycle, 200kW electrical;heat and power co-generation unit, organic Rankine cycle, 200kW electrical;unit;af20dbb65d6aaeefc374874086d53647;42902.16665772941;800.2791672962336;2471.8279352989803;0.001284023985311767;0.00029647806041469167;0.38740806278196194;7736.144642742493
6cb80e4a9eecd6fb5ccab5e2016e155f;market activity;ecoinvent-3.9.1-cutoff;GLO;market for magnesium sulfate;magnesium sulfate;kilogram;6cb80e4a9eecd6fb5ccab5e2016e155f;0.6328353743284674;0.03287623762382953;0.1313734235283351;1.2852316032243715e-08;5.9612032154311766e-09;3.757444328812424e-06;150.12086808076438
558bc5c9afd08196ce17569e1e79371b;market activity;ecoinvent-3.9.1-cutoff;GLO;market for alkylbenzene, linear;alkylbenzene, linear;kilogram;558bc5c9afd08196ce17569e1e79371b;0.7323199720551723;0.0006952287518817729;0.0034541295519915152;1.8089052693484576e-08;9.30736471986142e-09;4.692106799937498e-06;0.6222636945821376
7cafb3d03c38787c577b8969a395d32f;market activity;ecoinvent-3.9.1-cutoff;GLO;market for methyl acetate;methyl acetate;kilogram;7cafb3d03c38787c577b8969a395d32f;0.5175148392578349;0.0014201836348717194;0.004270626223877111;1.9724737514662425e-08;6.452560274734601e-09;3.2933157961709253e-06;0.43186849668197624
d24dac36fe814aed5d0a823b4cd727ef;market activity;ecoinvent-3.9.1-cutoff;GLO;market for roof tile;roof tile;kilogram;d24dac36fe814aed5d0a823b4cd727ef;0.318182435361185;0.0002802232737300033;0.0005439678495075245;6.150073849698386e-09;1.746654837889515e-09;7.777012756676954e-07;0.039850140507235524
a2b60fb6ee8411c4fda6cef9a54bb2e0;market activity;ecoinvent-3.9.1-cutoff;RoW;market for urea ammonium nitrate mix;urea ammonium nitrate mix;kilogram;a2b60fb6ee8411c4fda6cef9a54bb2e0;0.9453971199711271;0.001144025760709354;0.0016045333297789721;1.4139652063474966e-08;8.174129361075017e-09;3.972500779889795e-06;0.14951109319409153
ae337939d6b260592d04d58fe36e3ce6;market activity;ecoinvent-3.9.1-cutoff;GLO;market for cadmium telluride, semiconductor-grade;cadmium telluride, semiconductor-grade;kilogram;ae337939d6b260592d04d58fe36e3ce6;5.152492273085874;0.04718113827133739;0.05065509715233082;1.036613537089504e-06;1.1046355958308538e-07;9.316550985795274e-05;0.9554610921883372
14529c122914fc14ef7444a94b8d5958;market activity;ecoinvent-3.9.1-cutoff;GLO;market for epoxy resin insulator, Al2O3;epoxy resin insulator, Al2O3;kilogram;14529c122914fc14ef7444a94b8d5958;1.4840863893059266;0.004654480018353118;0.013244523182743953;7.626280404674788e-08;1.3345706009557445e-08;9.150331172952248e-06;0.39987476210727757
068b36f8228f2274f30e3f2a4021de4b;market activity;ecoinvent-3.9.1-cutoff;GLO;market for fluorspar, 97% purity;fluorspar, 97% purity;kilogram;068b36f8228f2274f30e3f2a4021de4b;0.28960689490854596;0.0003295647388604218;0.00030772937309471216;6.630490727368079e-09;1.3385355959302371e-09;8.805067638905058e-07;0.013787351288676971
428c569a472d36034de8770c3fc98358;market activity;ecoinvent-3.9.1-cutoff;RoW;market for white lined chipboard carton;white lined chipboard carton;kilogram;428c569a472d36034de8770c3fc98358;0.9858468591432875;0.001286200791271746;0.0016043551950127998;3.202965200875068e-08;7.071741955986377e-09;3.3113834562121147e-06;0.13619530634896834
737f74d05941be64671fa94914f0c9ff;market activity;ecoinvent-3.9.1-cutoff;GLO;market for arsine;arsine;kilogram;737f74d05941be64671fa94914f0c9ff;4.30186986348466;0.02676461208011509;0.457345460903264;4.896873679004231e-07;3.7451336570095224e-08;4.2951858152666965e-05;0.5507392186037985
