location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;emptied;parameters full;log parameters;activity type
RoW;SSP5-Base-2040;1dba3337588170fba8f1e1b5d72192ec;market for energy and auxilliary inputs, metal working machine;energy and auxilliary inputs, metal working machine;kilogram;0.1543454647694397;0.000295008755308;0.0018549253697286;1.7088570919393033e-08;3.15148989301617e-10;8.609261002159695e-14;3.1522145367117914e-09;3.8236446556420525e-11;7.54642680090358e-12;5.867986048565004e-11;2.8874220451103646e-10;5.266054008874694e-14;7.205709651157181e-11;1.588341165842696e-10;2.262115865116494e-15;5.05605394855694e-11;1.0445038234150583e-06;1.5383688768478748e-07;1.995525392543737e-07;2.7564105161544565e-10;1.2212179196483494e-10;3.444648193277045e-07;1.017593467774272e-09;8.314399468740035e-09;0.0766748018057666;0.0012028469648028;4.091599833853465e-09;1.7520875769956866e-06;0.0778776488211299;;;;
RoW;SSP5-Base-2040;bd2032dac0eb286ae656cc8d7446818d;market for rape oil, crude;rape oil, crude;kilogram;0.897039516821396;0.0010558593182988;0.0025797695155366;6.284063705003681e-09;5.734819337827703e-09;2.721403554216137e-13;9.9602710977809e-09;4.4035794174520006e-11;9.002361423243209e-12;1.5153257725878663e-10;3.5748744044418544e-10;1.8966498448900108e-11;5.5197187398395645e-08;6.70165632000587e-10;5.49565233993507e-14;1.2283329577282264e-09;3.3024925196389227e-06;2.507039666722711e-07;1.561962769135908e-06;9.762836091764348e-11;1.5665895302606672e-08;2.7719966450124293e-06;4.545485686243791e-09;2.019925221345061e-07;0.0913967176304302;0.0061457581498039;7.214378333364574e-08;8.109453512513958e-06;0.0975424770085671;;;;
GLO;SSP5-Base-2040;1d95a9865e5ecb049eb64f6823865078;market for monoethanolamine;monoethanolamine;kilogram;0.8632062409178195;0.0009714988342971;0.0064958142688608;2.4659138278257533e-08;1.3728777164969136e-09;2.36293996793508e-13;8.652600135573072e-09;6.80711483620167e-11;1.374914265598774e-11;1.282856420639247e-10;4.190608091546562e-10;4.766245565264855e-12;2.239059837791192e-10;5.700138723159201e-10;2.1433830961808424e-14;4.790674400825734e-10;2.8668921773262334e-06;4.48081578851429e-07;4.2821551043134e-07;3.8615486063202275e-10;1.707179649653934e-10;1.2853841073167495e-06;3.6991858767985382e-09;7.877997564583027e-08;0.5058474789056201;0.005436106416118;1.145357904672292e-08;5.111606394141916e-06;0.5112835858008056;;;;
GLO;SSP5-Base-2040;e6ba5991b1ecab06c9e5ebc33af41364;market for cast iron;cast iron;kilogram;1.0042939602568417;0.0009344648222349;0.0016238821819649;1.0107533460002392e-08;8.179694627714543e-10;1.3253319946516086e-13;4.8529525765683285e-09;7.388752566466201e-11;1.688086067206864e-11;1.8179706819328096e-10;4.3968079553586223e-10;7.789204250221571e-14;2.424998287221654e-10;5.243674074873864e-10;3.695088342992208e-15;8.258889960037639e-11;1.6079758699691397e-06;1.6046419229420278e-05;3.74806698794074e-07;1.6014973729700644e-10;1.217989311962952e-10;1.543678517711747e-06;3.3856757190428203e-09;1.3581285127647414e-08;0.0749944573824006;0.1496769992759535;7.150247406887555e-09;1.959012852227008e-05;0.224671456740943;;;;
GLO;SSP5-Base-2040;e4c3d4f9118063ffde97605b3feef170;market for copper telluride cement;copper telluride cement;kilogram;1.0277247424719378;0.0044081004981106;0.001225250518472;1.629354275649457e-08;8.747144764400797e-09;4.8901044577759215e-14;1.790341466378546e-09;1.5570583419068364e-09;3.120366846313585e-10;4.526269331195203e-09;1.8330951380110114e-09;1.110370984578944e-13;1.0037728841410268e-09;6.201697656986371e-10;8.180338517690763e-15;1.8283870203426926e-10;5.932945460824953e-07;1.398039482725486e-06;1.0702776154499565e-05;2.392952344194554e-10;3.463810435065445e-10;7.83556876235588e-06;4.261983526525814e-09;3.006680748516792e-08;0.0444501270497393;0.0403942244832162;2.039004962476284e-08;2.0564591209573032e-05;0.0848443517157942;;;;
GLO;SSP5-Base-2040;5b9049d1016117a6b1f5b91d1552fb53;market for router, internet;router, internet;unit;30.222341629376327;0.5852964974649362;1.266409407344755;1.74404442790899e-06;9.478288950034604e-08;6.452571164199629e-12;2.3624947604820175e-07;5.7125965220972834e-08;1.1424069813408273e-08;2.3399139931375503e-08;1.0694210870319417e-07;9.399479553745477e-12;2.6274355235958085e-08;2.894229706182512e-08;4.2699392204963444e-13;9.543738845921976e-09;7.828996800591686e-05;4.041101268798212e-05;0.0002896734425418;2.7220579155585074e-08;1.9529950525453743e-08;9.21284981717385e-05;1.970227341490458e-07;1.569414764907224e-06;4.810076725653203;1.3395484444750747;5.851555800089508e-07;0.0005023157807391;6.149625179672016;;;;
GLO;SSP5-Base-2040;3417e68b559f959ee49e5512abb50846;market for palm date, conditioned and dried, organic;palm date, conditioned and dried, organic;kilogram;0.8076767780625363;0.0048533373960337;0.002293042257239;8.68370746839455e-09;8.682748431609151e-10;2.581914789414702e-13;9.445930003648373e-09;6.321750217643785e-11;1.273352488370193e-11;1.7846838309132388e-10;1.5576877075938486e-10;5.1890534316646904e-14;1.0364829985675956e-08;2.8304297252882775e-10;1.3655769869405157e-15;3.05220038608567e-11;3.1360105203500188e-06;2.032709662160196e-07;2.2739507196713939e-07;1.3243665134390672e-10;5.4236701580350816e-08;7.280209633979804e-07;1.9190178172667108e-09;5.019173752250368e-09;0.0559891013212694;0.0028164215086902;2.1372576387400447e-08;4.356004301339453e-06;0.0588055228604817;;;;
GLO;SSP5-Base-2040;0fcc7131b612b072f72a3fcd9b23ff26;market for tilapia;tilapia;kilogram;1.637170396023996;0.001991385911774;0.0031978654953262;7.472510824086108e-08;2.295172468354973e-09;3.9290254974179043e-13;1.4384794252909764e-08;1.2795469159142644e-10;2.1180974416448394e-11;2.181642295036684e-10;7.256186555281802e-09;4.2245190484916596e-11;1.4787434314433021e-08;9.606616991472752e-10;2.413294778581837e-12;5.3939538564052174e-08;4.767862520818436e-06;6.741547696773366e-07;5.754445939901598e-07;1.1858078496822487e-09;4.071168389004563e-09;2.3693682710394865e-06;6.513996335322086e-09;8.870057071068996e-06;0.2063773646371088;0.0072120046169888;4.009656740391479e-08;1.7268647326946503e-05;0.2135894231936362;;;;
GLO;SSP5-Base-2040;d7ba469b432cb3dae0286448f9499d62;market for backlight, for liquid crystal display;backlight, for liquid crystal display;kilogram;21.999298331200304;0.2809217186044182;0.1153969258298455;5.3057656333077436e-08;1.3247403755869889e-08;8.446677254102916e-13;3.0934683434057786e-08;1.2146009463674351e-09;2.3909297118692807e-10;1.849003129424363e-09;2.2409515076740356e-09;1.0495059061288793e-12;3.7042454816022766e-09;6.842185900491473e-09;4.079724561848061e-14;9.118590165094991e-10;1.0248771302899033e-05;4.0294837268505504e-06;6.146771755921734e-06;8.225553714255585e-10;9.087377819071803e-10;1.2755509357620944e-05;4.6677063742190576e-08;1.4995014292907738e-07;1.129023943710728;0.057673339170587;6.027407346450265e-08;3.337888536921928e-05;1.186697283793174;;;;
RoW;SSP5-Base-2040;e9ed88941ce74c7596cc1b16dfc4624f;market for tree seedling, for planting;tree seedling, for planting;unit;0.0835691573837087;0.0001398150703633;0.0001212868654567;1.1070531505331148e-09;6.725566356959107e-11;9.716924601691179e-15;3.558020131280937e-10;2.234193487246454e-12;5.410031854968545e-13;1.8318732171721667e-11;2.9870391589976635e-11;6.9447197729257705e-15;3.5477234558161466e-11;2.1443359180689526e-11;2.1027121085978087e-16;4.6997706984416296e-12;1.1789336441609494e-07;1.958634158882875e-08;2.2158313344884224e-08;1.7810246226247298e-11;2.7555922061813425e-11;7.771544300309389e-08;1.4284983477011422e-10;7.72851148265057e-10;0.0064668840909718;0.0002193122264901;5.309580938483179e-10;2.3831407953067397e-07;0.0066861963221617;;;;
RoW;SSP5-Base-2040;df0a085d35fbb3c69626b372cba649f2;market for calcium nitrate;calcium nitrate;kilogram;1.3262848886285217;0.0011617645906189;0.0015460868323348;5.9120352896069876e-09;1.622611389051339e-09;2.2245779003580707e-13;8.141486350622826e-09;1.0015209251888884e-10;2.0084723337483217e-11;2.0585130688591244e-10;2.3968396092339687e-10;1.0131191270894193e-13;2.896094765898157e-10;3.5932333983836947e-10;1.4247262647103355e-14;3.184404904887799e-10;2.7004369243199253e-06;4.268796777759345e-07;5.391334048278913e-07;9.119545105623228e-11;2.375768602118866e-08;1.217150855043085e-06;2.3925041346091684e-09;5.236576729369941e-08;0.1193942172589871;0.0065227665727613;1.0979135239270514e-08;4.962206177746473e-06;0.125916984150189;;;;
RoW;SSP5-Base-2040;39028b49f6d6245996caaa0a615111eb;market for hydrogen peroxide, without water, in 50% solution state;hydrogen peroxide, without water, in 50% solution state;kilogram;0.8674878041026126;0.0008195044155301;0.0014069998832816;1.1550789168162656e-08;6.240182719758946e-10;1.1245518636359884e-13;4.117694910647848e-09;6.359406032200483e-11;1.3005865496283555e-11;1.1123658982013321e-10;2.541460426078671e-10;1.7119695182182546e-13;1.4084697195760743e-10;2.8618352416100846e-10;4.3967454412824845e-14;9.82716336152446e-10;1.3645071194774326e-06;6.612260879199677e-07;4.2760854558930244e-07;1.9423974324884639e-10;1.4508485077043478e-10;7.274784130943768e-07;1.8486010443890163e-09;1.6160223499118458e-07;0.1329732786082289;0.004076815296662;5.611047666638806e-09;3.344608316577129e-06;0.1370500948876073;;;;
GLO;SSP5-Base-2040;b317eba5a2eb73cf5f458f3780d4c035;market for lime mortar;lime mortar;kilogram;0.2580147207697078;0.0002114710014284;0.0004351423396322;1.7484530067451504e-09;2.1937781211092696e-10;5.754942172101277e-14;2.106680120665904e-09;8.348571942623554e-12;1.919091074727049e-12;4.765205264181127e-11;4.9283311767771055e-11;1.957115585878344e-14;1.3561699148854566e-10;1.3529552116756527e-10;8.806681623958716e-16;1.9683809342014958e-11;6.981654279330589e-07;5.0962542617393545e-08;8.235662811035365e-08;2.7684642419957955e-11;3.1463049407687005e-11;2.4711963980713385e-07;9.212603744761142e-10;3.236892952511704e-09;0.0250077394944716;0.001543423765505;2.704249698059703e-09;1.0828209752669706e-06;0.0265511632796604;;;;
GLO;SSP5-Base-2040;657972e2d1cad01e6badc08a079ef38a;market for refractory material, acid;refractory material, acid;kilogram;0.2650650966970503;0.0005573322626193;0.0011676727801063;4.7366469895065394e-09;8.47473053994851e-10;6.929398097746334e-14;2.537044865302915e-09;1.4787883943674042e-10;2.838652631166896e-11;5.942923095765467e-11;2.506227513951661e-10;3.0042682485704594e-14;1.1191020497660251e-10;2.7967193885264304e-10;2.3079174463106e-15;5.1584250379505775e-11;8.406862753672015e-07;2.177956877536713e-06;4.3956834053994737e-07;7.335030457725663e-11;1.0704543802701511e-10;8.755684867032029e-07;1.926619167804872e-09;8.482743030721158e-09;0.0522306435845993;0.0128770969870715;4.262516295886664e-09;4.344368851776569e-06;0.0651077406232551;;;;
RoW;SSP5-Base-2040;07e5f1b0343c3344e99d193830cd925d;market for particleboard, cement bonded;particleboard, cement bonded;cubic meter;252.92525400248095;0.1371416902133369;0.2426930384957466;3.573603941526078e-07;4.2084278615452633e-07;7.533063434482636e-11;2.757825912347727e-06;1.0223544011746672e-08;2.408741045889613e-09;7.51465828350291e-08;8.16207119432613e-08;2.3118123177877952e-11;1.2745096385067909e-06;2.8521656217781374e-07;1.985675438727519e-12;4.438182100815507e-08;0.0009138981991698;8.100666578873127e-05;9.60177543406053e-05;9.221937930402257e-08;6.363828557981874e-08;0.0006227845607601;1.951362507812313e-06;7.298343585064773e-06;54.42805076937438;1.8121232365251376;4.90780143676754e-06;0.0017230817923961;56.24017405028136;;;;
GLO;SSP5-Base-2040;4f55756c56a20b81be130e73b564f01b;market for deinked pulp, wet lap;deinked pulp, wet lap;kilogram;0.3025015054970313;0.0007738085860907;0.0003093692645767;7.306553096382149e-09;2.4562060064743686e-10;7.814763069654176e-14;2.861221545285347e-09;2.9015669064370053e-11;5.850948661427081e-12;1.914282601325893e-11;2.1919961160644927e-10;4.507805257736425e-12;1.4212094942493203e-10;9.648547745399535e-11;1.5727861089162209e-15;3.5153333827185926e-11;9.48994067206985e-07;7.886435761142169e-08;2.3919987876311205e-07;1.1562636386409208e-10;2.3255060671067904e-10;2.638228066258171e-07;6.435278725928642e-10;5.780770202830129e-09;0.0208445169852007;0.0011038086286971;3.62306426148485e-09;1.5375936456401564e-06;0.0219483256490513;;;;
