name;reference product;database;unit;production amount;location;code;activity type;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market for manure, solid, cattle;manure, solid, cattle;SSP5-PkBudg500-2030;kilogram;;GLO;7477390721cc533fb0f17a732df8932f;;1610;Support activities for crop production;34654;Excreta of animals useful for manure/fertilizer and fuel preparation;Chemical;Chemical products
market for hydrogen, liquid;hydrogen, liquid;SSP5-PkBudg500-2030;kilogram;;RoW;957c7cd32850cbf34c485588bb417f6c;;19200;Manufacture of refined petroleum products;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
market for zirconium tetrachloride;zirconium tetrachloride;SSP5-PkBudg500-2030;kilogram;;GLO;a947a6fbd36a6d46728f905616a73842;;24200;Manufacture of basic precious and other non-ferrous metals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for sawnwood, softwood, raw;sawnwood, softwood, raw;SSP5-PkBudg500-2030;cubic meter;;GLO;c9dcdb6b316c46facf0a1e0704bb26e6;;16100;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
market for cathode, NCA, for Li-ion battery;cathode, NCA, for Li-ion battery;SSP5-PkBudg500-2030;kilogram;;RoW;d652929c4508093574e9e957c8535459;;27200;Manufacture of batteries and accumulators;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments & parts
market for sulfur hexafluoride, liquid;sulfur hexafluoride, liquid;SSP5-PkBudg500-2030;kilogram;;RoW;d3ebe1c2d716e0131d5cc8d2b5b63f04;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for battery cell, Li-ion, NCA;battery cell, Li-ion, NCA;SSP5-PkBudg500-2030;kilogram;;GLO;a2634d3b6d27046ccb1d0af9c0384c64;;27200;Manufacture of batteries and accumulators;46410;Primary cells and primary batteries;MachElecTrans;Metal/electronic equipments & parts
market for cadmium, semiconductor-grade;cadmium, semiconductor-grade;SSP5-PkBudg500-2030;kilogram;;GLO;c1f0a53f2b472b7d13960a4bcb6440c9;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for paris market carrot;paris market carrot;SSP5-PkBudg500-2030;kilogram;;GLO;8150058aa52dc9152a0f1df740fd96bd;;1130;Growing of vegetables and melons, roots and tubers;1251;Carrots and turnips;AgriForeAnim;Agricultural & forestry products
market for ozone, liquid;ozone, liquid;SSP5-PkBudg500-2030;kilogram;;RoW;e542f5aaf1d9e3b8ed963dc8d891e640;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for 3-methylpyridine;3-methylpyridine;SSP5-PkBudg500-2030;kilogram;;RoW;46e81e7bf63d5ad310015aa7c7d2172a;;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market for silicon carbide;silicon carbide;SSP5-PkBudg500-2030;kilogram;;GLO;ecddc793de057b056c38a2a378711ece;;23910;Manufacture of refractory products;37300;Refractory products and structural non-refractory clay products;GlasNonMetal;Glass & other non-metallic products
market for plasticiser, for concrete, based on sulfonated melamine formaldehyde;plasticiser, for concrete, based on sulfonated melamine formaldehyde;SSP5-PkBudg500-2030;kilogram;;GLO;a39fa8035aaf9c8e029a46a344b629e7;;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market for aluminium chloride;aluminium chloride;SSP5-PkBudg500-2030;kilogram;;GLO;a4e7a4dfb3c936e112491275acb5d2a5;;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for magnesium chloride, from zirconium sponge production;magnesium chloride, from zirconium sponge production;SSP5-PkBudg500-2030;kilogram;;GLO;88dadec1521be00abcbc3dc0325bd0fe;;24200;Manufacture of basic precious and other non-ferrous metals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for landed tuna, frozen, EPO;landed tuna, frozen, EPO;SSP5-PkBudg500-2030;kilogram;;GLO;024bb71edfdf7b917269f73a0ddfa1e0;;3110;Marine fishing;21215;Tunas, skipjack or stripe-bellied bonito, frozen;ProcBio;Food & beverages, animal feed
market for passenger car, petrol/natural gas;passenger car, petrol/natural gas;SSP5-PkBudg500-2030;kilogram;;GLO;fd9419bc14e077ca33133be02728da0a;;29100;Manufacture of motor vehicles;49113;Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…];MachElecTrans;Transport vehicles
market for process-specific burdens, import of copper to Switzerland;process-specific burdens, import of copper to Switzerland;SSP5-PkBudg500-2030;kilogram;;GLO;795c88e2ceb654df436ccd5c84c5914f;;24200;Manufacture of basic precious and other non-ferrous metals;41413;"Refined copper and copper alloys, unwrought; master alloys of copper";MetalAlloy;Basic metals & alloys, their semi-finished products
market for dysprosium oxide;dysprosium oxide;SSP5-PkBudg500-2030;kilogram;;GLO;975770f48967d9f9ea82f1ac4648f7c5;;7290;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market for alkylketene dimer sizing agent, for paper production;alkylketene dimer sizing agent, for paper production;SSP5-PkBudg500-2030;kilogram;;RoW;1fbb0e8fb8ee1bd4d099e2b5b7a57c68;;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market for triclopyr;triclopyr;SSP5-PkBudg500-2030;kilogram;;GLO;ff43875a46f7adedf9cc98fbdd3921b9;;20110;Manufacture of basic chemicals;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for propylene, pipeline system;propylene, pipeline system;SSP5-PkBudg500-2030;kilogram;;RoW;9b9856d732f71b968c9b3f638b62556b;;19200;Manufacture of refined petroleum products;33421;Ethylene, propylene, butylene, butadiene;OreMinFuel;Ores, minerals & fuels
market for breadcrumbs;breadcrumbs;SSP5-PkBudg500-2030;kilogram;;GLO;93a0b463d0e162f06a7483226ccc337a;;10610;Manufacture of grain mill products;23180;Mixes and doughs for the preparation of bakers' wares;ProcBio;Food & beverages, animal feed
market for glycerine;glycerine;SSP5-PkBudg500-2030;kilogram;;RoW;93486d3128e47072264843cbd5b2dbd0;;20110;Manufacture of basic chemicals;34570;Glycerol;Chemical;Chemical products
market for agricultural machinery, tillage;agricultural machinery, tillage;SSP5-PkBudg500-2030;kilogram;;GLO;196163600a4efa51969dcf6ee28a465f;;28210;Manufacture of agricultural and forestry machinery;44100;Agricultural or forestry machinery and parts thereof;MachElecTrans;Metal/electronic equipments & parts
market for polyethylene terephthalate, granulate, amorphous;polyethylene terephthalate, granulate, amorphous;SSP5-PkBudg500-2030;kilogram;;GLO;3e0cd6cd97da0dcba48f4a0c840b4004;;20130;Manufacture of plastics and synthetic rubber in primary forms;34710;Polymers of ethylene, in primary forms;PlastRub;Plastics & rubber products
market for propane;propane;SSP5-PkBudg500-2030;kilogram;;GLO;492d7343b3f92abd9a2ca1002fbc7e54;;20110;Manufacture of basic chemicals;33410;Propane and butanes, liquefied;OreMinFuel;Ores, minerals & fuels
market for cable, unspecified;cable, unspecified;SSP5-PkBudg500-2030;kilogram;;GLO;b1e074c3fb9c5f43166100b884246802;;27320;Manufacture of other electronic and electric wires and cables;46300;"Insulated wire and cable; optical fibre cables";MachElecTrans;Metal/electronic equipments & parts
market for hydraulic fracturing fluid;hydraulic fracturing fluid;SSP5-PkBudg500-2030;cubic meter;;GLO;2d61fad5617b6a30bdf52dfaeb219a43;;20290;Manufacture of other chemical products n.e.c.;35499;Other chemical products n.e.c.;Chemical;Chemical products
market for sodium;sodium;SSP5-PkBudg500-2030;kilogram;;GLO;b2f81376697c49aa3d87bc10e44e1f47;;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for grass, organic;grass, organic;SSP5-PkBudg500-2030;kilogram;;GLO;39005c9bb3043a49b53c1c137a70c44c;;1190;Growing of other non-perennial crops;1919;Forage products, n.e.c.;AgriForeAnim;Agricultural & forestry products
market for battery, Li-ion, NCA, rechargeable, prismatic;battery, Li-ion, NCA, rechargeable, prismatic;SSP5-PkBudg500-2030;kilogram;;GLO;5649dd9b7aa34f1a93f87fabfb7ea516;;27200;Manufacture of batteries and accumulators;46410;Primary cells and primary batteries;MachElecTrans;Metal/electronic equipments & parts
market for bitumen seal, V60;bitumen seal, V60;SSP5-PkBudg500-2030;kilogram;;GLO;b182d7385374ed36d16aaf78c177e2ab;;23990;Manufacture of other non-metallic mineral products n.e.c.;37940;Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related su[…];GlasNonMetal;Glass & other non-metallic products
market for petroleum slack wax;petroleum slack wax;SSP5-PkBudg500-2030;kilogram;;GLO;74858ab1bcc3a3db1a4dbaa7f1ae5ceb;;19200;Manufacture of refined petroleum products;33500;"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]";OreMinFuel;Ores, minerals & fuels
market for de-icer;de-icer;SSP5-PkBudg500-2030;kilogram;;GLO;13af8e238ec848222f67f5b228371424;;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
market for electronic component, active, unspecified;electronic component, active, unspecified;SSP5-PkBudg500-2030;kilogram;;GLO;03bdcafa6ca2fbbb6ba2ed5a03d0a4b5;;26100;Manufacture of electronic components and boards;47100;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments & parts
market for N2O retained, by regenerative thermal oxidation;N2O retained, by regenerative thermal oxidation;SSP5-PkBudg500-2030;kilogram;;GLO;dbe574e9c82e1bfd55316e064a740415;;35100;Electric power generation, transmission and distribution;35499;Other chemical products n.e.c.;Chemical;Chemical products
market for sodium tetrafluoroborate;sodium tetrafluoroborate;SSP5-PkBudg500-2030;kilogram;;GLO;add234d9bd0210d2090f0a2eaff1ea6b;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for wheat grain, organic;wheat grain, organic;SSP5-PkBudg500-2030;kilogram;;GLO;223f6be222ab4d6aec8ac4ea00f2d1b7;;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1112;Wheat, other;AgriForeAnim;Agricultural & forestry products
market for cobalt acetate;cobalt acetate;SSP5-PkBudg500-2030;kilogram;;GLO;37ed4cf62879b492697eb9ed155b4552;;7290;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market for cyclohexane;cyclohexane;SSP5-PkBudg500-2030;kilogram;;GLO;f25b4ed397e8a0de8630025f4c4ae927;;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market for tubular particleboard;tubular particleboard;SSP5-PkBudg500-2030;cubic meter;;RoW;f43a560fc8a59cd824517f85afc6655e;;16210;Manufacture of veneer sheets and wood-based panels;31431;Particle board;ProcBio;Wood, straw & cork
market for organo-mineral nitrogen fertiliser, as N;organo-mineral nitrogen fertiliser, as N;SSP5-PkBudg500-2030;kilogram;;GLO;0d0be383a3fbe2cd5838635b801109e3;;1610;Support activities for crop production;34659;Fertilizers n.e.c.;Chemical;Chemical products
market for hydroxylamine;hydroxylamine;SSP5-PkBudg500-2030;kilogram;;RoW;0352c8beb3a44e9bde436ac42da9f2b0;;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market for yarn, kenaf;yarn, kenaf;SSP5-PkBudg500-2030;kilogram;;GLO;1deb8c6691c4448d10b7c83adde3db1c;;13110;Preparation and spinning of textile fibres;26380;"Yarn of vegetable textile fibres other than cotton (including flax, jute, coir and true hemp); paper yarn";ProcBio;Textile
market for textile, jute;textile, jute;SSP5-PkBudg500-2030;kilogram;;GLO;b4e86a1a12374dc15d5dc3c5da023a8e;;13120;Weaving of textiles;26570;Woven fabrics of jute and other textile bast fibres (except flax, true hemp and ramie);ProcBio;Textile
market for cement, CEM II/B;cement, CEM II/B;SSP5-PkBudg500-2030;kilogram;;RoW;2e1ceff89082bf16fd7e3d3b108027ea;;23940;Manufacture of cement, lime and plaster;37400;Plaster, lime and cement;GlasNonMetal;Glass & other non-metallic products
market for 2-cyclopentone;2-cyclopentone;SSP5-PkBudg500-2030;kilogram;;GLO;705e9aa40642f695d5ee96cd9fcf44ef;;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market for cottonseed, organic;cottonseed, organic;SSP5-PkBudg500-2030;kilogram;;RoW;5a167ccac14e2f430d93a51ef0a2613b;;1630;Post-harvest crop activities;1921;Cotton, whether or not ginned;AgriForeAnim;Agricultural & forestry products
market for copper sulfate;copper sulfate;SSP5-PkBudg500-2030;kilogram;;GLO;ba33d7ba71218e2d5a1a27a1b57e1dd9;;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for bamboo pole;bamboo pole;SSP5-PkBudg500-2030;kilogram;;RoW;864dbb3e6898839ec94cbf2b56660bf8;;16200;Manufacture of products of wood, cork, straw and plaiting materials;31212;Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, […];ProcBio;Wood, straw & cork
market for tallow, unrefined;tallow, unrefined;SSP5-PkBudg500-2030;kilogram;;GLO;a1cc01029de3e1ed6a4d79673374cb29;;20230;Manufacture of soap and detergents, cleaning and polishing preparations, pe;21510;Animal fats, unrendered;ProcBio;Food & beverages, animal feed
market for cucumber;cucumber;SSP5-PkBudg500-2030;kilogram;;GLO;2b4fb423557ff1bf236754634d4c7b73;;1130;Growing of vegetables and melons, roots and tubers;1232;Cucumbers and gherkins;AgriForeAnim;Agricultural & forestry products
market for sodium cyanide;sodium cyanide;SSP5-PkBudg500-2030;kilogram;;RoW;bc984af3268bdd9d93ba91781c08a87a;;20110;Manufacture of basic chemicals;34270;"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]";Chemical;Chemical products
market for electric motor, vehicle;electric motor, vehicle;SSP5-PkBudg500-2030;kilogram;;GLO;c27641648029d80a71c39e81f15ff491;;27100;Manufacture of electric motors, generators, transformers and electricity di;46100;Electric motors, generators and transformers, and parts thereof;MachElecTrans;Metal/electronic equipments & parts
market for fibre, flax;fibre, flax;SSP5-PkBudg500-2030;kilogram;;GLO;b174d4a88624f143a5f6eefff6697b66;;13110;Preparation and spinning of textile fibres;1929;Other fibre crops, raw, n.e.c.;AgriForeAnim;Agricultural & forestry products
market for strontium sulfate, 90% SrSO4;strontium sulfate, 90% SrSO4;SSP5-PkBudg500-2030;kilogram;;GLO;c3f8dcd117ff5691f137f0957f08e412;;7290;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
market for cadmium sulfide, semiconductor-grade;cadmium sulfide, semiconductor-grade;SSP5-PkBudg500-2030;kilogram;;GLO;0dd4b92a22e8a251469a1f603fc2022c;;20110;Manufacture of basic chemicals;34250;"Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…]";Chemical;Chemical products
market for tin;tin;SSP5-PkBudg500-2030;kilogram;;GLO;ddff069daa805b575e737187192b3402;;24320;Casting of non-ferrous metals;41443;Tin, unwrought;MetalAlloy;Basic metals & alloys, their semi-finished products
market for clay;clay;SSP5-PkBudg500-2030;kilogram;;RoW;844d0ce34065043c0a8e16462c1b5b16;;8100;Quarrying of stone, sand and clay;15400;Clays;OreMinFuel;Ores, minerals & fuels
market for tantalum concentrate, 30% Ta2O5;tantalum concentrate, 30% Ta2O5;SSP5-PkBudg500-2030;kilogram;;GLO;0c68daf6455c3e7750a7d48e87f17f7a;;7290;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market for fraction 7 from naphtha separation;fraction 7 from naphtha separation;SSP5-PkBudg500-2030;kilogram;;GLO;f9d39e27b00efa0cd1548535570aae5b;;19200;Manufacture of refined petroleum products;34100;Basic organic chemicals;Chemical;Chemical products
market for phthalimide;phthalimide;SSP5-PkBudg500-2030;kilogram;;GLO;7f5d8f54b362eff0507a61f49e21eb65;;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market for dioxane;dioxane;SSP5-PkBudg500-2030;kilogram;;RoW;8a893e1628f163b629bbadda4ad92902;;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market for tin concentrate;tin concentrate;SSP5-PkBudg500-2030;kilogram;;GLO;1bc863a377c63072694d33d69f9fd94f;;7290;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
market for cork slab;cork slab;SSP5-PkBudg500-2030;kilogram;;RoW;fc161c75ac293b337cb3905853c73f20;;2300;Gathering of non-wood forest products;31921;"Natural cork, debacked or roughly squared, or in blocks, plates, sheets or strip; crushed, granulated or groun[…]";ProcBio;Wood, straw & cork
market for aluminium oxide, non-metallurgical;aluminium oxide, non-metallurgical;SSP5-PkBudg500-2030;kilogram;;RoW;1de1557745b5a6c04efe732661089f69;;24200;Manufacture of basic precious and other non-ferrous metals;41432;Alumina (aluminium oxide), except artificial corundum;MetalAlloy;Basic metals & alloys, their semi-finished products
market for ryegrass silage;ryegrass silage;SSP5-PkBudg500-2030;kilogram;;GLO;6706d6a0e7fcb0523210743ad64d8be5;;1610;Support activities for crop production;1919;Forage products, n.e.c.;AgriForeAnim;Agricultural & forestry products
market for seed-cotton, organic;seed-cotton, organic;SSP5-PkBudg500-2030;kilogram;;GLO;2d43cda80e788dec50a7901210a1686b;;1160;Growing of fibre crops;1921;Cotton, whether or not ginned;AgriForeAnim;Agricultural & forestry products
market for mecoprop;mecoprop;SSP5-PkBudg500-2030;kilogram;;GLO;686d78fa45898d3084761c9684a6137d;;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for hydrogen, gaseous, 20-year period;hydrogen, gaseous;SSP5-PkBudg500-2030;kilogram;;World;b2d92f5d513749c5bcf2883b84cde40b;;19200;Manufacture of refined petroleum products;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
market for cobalt;cobalt;SSP5-PkBudg500-2030;kilogram;;GLO;e00cbb03fdc5efbd82cb393eb7edeecf;;24200;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market for electrolyte, KOH, LiOH additive;electrolyte, KOH, LiOH additive;SSP5-PkBudg500-2030;kilogram;;GLO;dba873826e4de6475ee72a0fbd28c0e5;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for dimethyldichlorosilane;dimethyldichlorosilane;SSP5-PkBudg500-2030;kilogram;;GLO;593e81d5f2106b9c43a900de0f923a65;;20110;Manufacture of basic chemicals;34160;"Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids an[…]";Chemical;Chemical products
market for sawnwood, beam, hardwood, dried (u=10%), planed;sawnwood, beam, hardwood, dried (u=10%), planed;SSP5-PkBudg500-2030;cubic meter;;RoW;d2f0454b1e89ac8ed829e6d8df9679c3;;16100;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
market for red meat, live weight;red meat, live weight;SSP5-PkBudg500-2030;kilogram;;GLO;97c1783a3ec0e3aa0b136ec3cde4c2b6;;1410;Raising of cattle and buffaloes;21110;Meat of mammals, fresh or chilled;ProcBio;Food & beverages, animal feed
market for ethylene dichloride;ethylene dichloride;SSP5-PkBudg500-2030;kilogram;;RoW;106606494845f6929e1c94c1fb7de7ba;;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market for capacitor, electrolyte type, < 2cm height;capacitor, electrolyte type, < 2cm height;SSP5-PkBudg500-2030;kilogram;;GLO;e8f08ec48a26ed189fe166cff13d1c7d;;26100;Manufacture of electronic components and boards;47110;Electrical capacitors;MachElecTrans;Metal/electronic equipments & parts
market for cottonseed oil, crude;cottonseed oil, crude;SSP5-PkBudg500-2030;kilogram;;GLO;076f157d3912ee401ae16c508fd857a7;;10400;Manufacture of vegetable and animal oils and fats;21681;Cottonseed oil, crude;ProcBio;Food & beverages, animal feed
market for palm kernel meal;palm kernel meal;SSP5-PkBudg500-2030;kilogram;;GLO;d7b541bc86ff085ef8885572608fa059;;10400;Manufacture of vegetable and animal oils and fats;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
market for fishmeal, 65-67% protein;fishmeal, 65-67% protein;SSP5-PkBudg500-2030;kilogram;;GLO;d0d77072e7d32a9dfcea2713e4a4733d;;10200;Processing and preserving of fish, crustaceans and molluscs;21291;Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates;ProcBio;Food & beverages, animal feed
market for bipyridylium-compound;bipyridylium-compound;SSP5-PkBudg500-2030;kilogram;;GLO;c97f5eca2e11a0ac434d8d3d5fce732a;;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for lithium;lithium;SSP5-PkBudg500-2030;kilogram;;GLO;66426d32b54bb1c84aa437f9dedf7d23;;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for packaging glass, brown;packaging glass, brown;SSP5-PkBudg500-2030;kilogram;;GLO;538db6017d8946645d0ea260489dce88;;23100;Manufacture of glass and glass products;37191;Bottles, jars, phials and other containers, of glass, of a kind used for the conveyance or packing of goods, e[…];GlasNonMetal;Glass & other non-metallic products
market for rye grain, organic;rye grain, organic;SSP5-PkBudg500-2030;kilogram;;GLO;c0c5d5df67cf36b09bee2a1d370feb96;;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1162;Rye, other;AgriForeAnim;Agricultural & forestry products
market for piperidine;piperidine;SSP5-PkBudg500-2030;kilogram;;GLO;55deb32257d77bd7b09eaae8890e7ee1;;20110;Manufacture of basic chemicals;35230;Lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring[…];Chemical;Chemical products
market for benzoic-compound;benzoic-compound;SSP5-PkBudg500-2030;kilogram;;GLO;2dc320a6b483c0f5868d3dc222dd2de6;;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for 2,4-dichlorophenol;2,4-dichlorophenol;SSP5-PkBudg500-2030;kilogram;;GLO;c3b925989546c0cfacc4de7771eb9068;;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market for ethylene bromide;ethylene bromide;SSP5-PkBudg500-2030;kilogram;;RoW;6c9957e3a40e64f2447358c4209869a3;;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
