('08/26/2025, 20:33:48', 'SSP1-PkBudg500-2020', 'WasteFootprint_hazardous-cubicmeter', 'additions', 308, 'duration:', '0:06:48.552901')
('08/26/2025, 20:34:27', 'SSP1-PkBudg500-2020', 'WasteFootprint_hazardous-kilogram', 'additions', 1846, 'duration:', '0:07:27.844029')
('08/26/2025, 20:34:27', 'SSP1-PkBudg500-2020', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:07:27.891387')
('08/26/2025, 20:35:16', 'SSP1-PkBudg500-2020', 'WasteFootprint_incineration-kilogram', 'additions', 2314, 'duration:', '0:08:16.165666')
('08/26/2025, 20:35:16', 'SSP1-PkBudg500-2020', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:08:16.214376')
('08/26/2025, 20:35:51', 'SSP1-PkBudg500-2020', 'WasteFootprint_landfill-kilogram', 'additions', 1680, 'duration:', '0:08:51.242385')
('08/26/2025, 20:36:02', 'SSP1-PkBudg500-2020', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:09:02.241805')
('08/26/2025, 20:36:10', 'SSP1-PkBudg500-2020', 'WasteFootprint_radioactive-cubicmeter', 'additions', 308, 'duration:', '0:09:10.552388')
('08/26/2025, 20:36:12', 'SSP1-PkBudg500-2020', 'WasteFootprint_recycling-kilogram', 'additions', 83, 'duration:', '0:09:12.282275')
('08/26/2025, 20:37:48', 'SSP1-PkBudg500-2020', 'WasteFootprint_total-cubicmeter', 'additions', 4643, 'duration:', '0:10:48.980972')
('08/26/2025, 20:48:22', 'SSP1-PkBudg500-2020', 'WasteFootprint_total-kilogram', 'additions', 30014, 'duration:', '0:21:22.426045')
('08/26/2025, 20:49:33', 'SSP1-PkBudg500-2030', 'MaterialFootprint_aluminium', 'additions', 2123, 'duration:', '0:00:45.980463')
('08/26/2025, 20:49:34', 'SSP1-PkBudg500-2030', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:46.566049')
('08/26/2025, 20:49:34', 'SSP1-PkBudg500-2030', 'MaterialFootprint_bauxite', 'additions', 29, 'duration:', '0:00:47.248512')
('08/26/2025, 20:49:34', 'SSP1-PkBudg500-2030', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:47.279750')
('08/26/2025, 20:49:35', 'SSP1-PkBudg500-2030', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:47.622443')
('08/26/2025, 20:49:35', 'SSP1-PkBudg500-2030', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:47.890210')
('08/26/2025, 20:50:00', 'SSP1-PkBudg500-2030', 'MaterialFootprint_cement', 'additions', 1168, 'duration:', '0:01:12.728749')
('08/26/2025, 20:50:00', 'SSP1-PkBudg500-2030', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:01:12.794786')
('08/26/2025, 20:50:10', 'SSP1-PkBudg500-2030', 'MaterialFootprint_chromium', 'additions', 474, 'duration:', '0:01:22.666687')
('08/26/2025, 20:50:46', 'SSP1-PkBudg500-2030', 'MaterialFootprint_coal(black)', 'additions', 1756, 'duration:', '0:01:59.070941')
('08/26/2025, 20:50:58', 'SSP1-PkBudg500-2030', 'MaterialFootprint_coal(brown)', 'additions', 542, 'duration:', '0:02:10.720929')
('08/26/2025, 20:51:01', 'SSP1-PkBudg500-2030', 'MaterialFootprint_cobalt', 'additions', 168, 'duration:', '0:02:14.196160')
('08/26/2025, 20:51:03', 'SSP1-PkBudg500-2030', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:02:16.382819')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:02:42.546426')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:02:42.571678')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:02:42.600174')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:02:42.624781')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:02:43.115027')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:02:43.135133')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:02:43.216202')
('08/26/2025, 20:51:30', 'SSP1-PkBudg500-2030', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:02:43.452734')
('08/26/2025, 20:51:31', 'SSP1-PkBudg500-2030', 'MaterialFootprint_graphite', 'additions', 31, 'duration:', '0:02:44.094374')
('08/26/2025, 20:51:32', 'SSP1-PkBudg500-2030', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:02:45.055272')
('08/26/2025, 20:51:32', 'SSP1-PkBudg500-2030', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:02:45.082209')
('08/26/2025, 20:51:45', 'SSP1-PkBudg500-2030', 'MaterialFootprint_hydrogen', 'additions', 646, 'duration:', '0:02:58.445680')
('08/26/2025, 20:51:46', 'SSP1-PkBudg500-2030', 'MaterialFootprint_indium', 'additions', 16, 'duration:', '0:02:58.777030')
('08/26/2025, 20:51:47', 'SSP1-PkBudg500-2030', 'MaterialFootprint_latex', 'additions', 49, 'duration:', '0:02:59.787834')
('08/26/2025, 20:51:52', 'SSP1-PkBudg500-2030', 'MaterialFootprint_lead', 'additions', 237, 'duration:', '0:03:04.668439')
('08/26/2025, 20:51:53', 'SSP1-PkBudg500-2030', 'MaterialFootprint_lithium', 'additions', 55, 'duration:', '0:03:05.795711')
('08/26/2025, 20:51:59', 'SSP1-PkBudg500-2030', 'MaterialFootprint_magnesium', 'additions', 316, 'duration:', '0:03:12.396670')
('08/26/2025, 20:53:00', 'SSP1-PkBudg500-2030', 'MaterialFootprint_natural gas', 'additions', 2756, 'duration:', '0:04:12.855641')
('08/26/2025, 20:53:09', 'SSP1-PkBudg500-2030', 'MaterialFootprint_nickel', 'additions', 438, 'duration:', '0:04:21.851351')
('08/26/2025, 20:53:10', 'SSP1-PkBudg500-2030', 'MaterialFootprint_palladium', 'additions', 36, 'duration:', '0:04:22.520756')
('08/26/2025, 20:53:20', 'SSP1-PkBudg500-2030', 'MaterialFootprint_petroleum', 'additions', 511, 'duration:', '0:04:33.121069')
('08/26/2025, 20:53:24', 'SSP1-PkBudg500-2030', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:04:37.327553')
('08/26/2025, 20:53:28', 'SSP1-PkBudg500-2030', 'MaterialFootprint_platinum', 'additions', 171, 'duration:', '0:04:40.923761')
('08/26/2025, 20:53:29', 'SSP1-PkBudg500-2030', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:04:41.684827')
('08/26/2025, 20:53:29', 'SSP1-PkBudg500-2030', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:04:41.920292')
('08/26/2025, 20:53:41', 'SSP1-PkBudg500-2030', 'MaterialFootprint_sand', 'additions', 590, 'duration:', '0:04:54.167442')
('08/26/2025, 20:53:41', 'SSP1-PkBudg500-2030', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:04:54.193719')
('08/26/2025, 20:53:41', 'SSP1-PkBudg500-2030', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:04:54.392143')
('08/26/2025, 20:53:49', 'SSP1-PkBudg500-2030', 'MaterialFootprint_silicon', 'additions', 381, 'duration:', '0:05:02.353167')
('08/26/2025, 20:53:50', 'SSP1-PkBudg500-2030', 'MaterialFootprint_silver', 'additions', 51, 'duration:', '0:05:03.406281')
('08/26/2025, 20:53:51', 'SSP1-PkBudg500-2030', 'MaterialFootprint_strontium', 'additions', 28, 'duration:', '0:05:03.977396')
('08/26/2025, 20:53:51', 'SSP1-PkBudg500-2030', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:05:04.046820')
('08/26/2025, 20:53:51', 'SSP1-PkBudg500-2030', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:05:04.095076')
('08/26/2025, 20:53:54', 'SSP1-PkBudg500-2030', 'MaterialFootprint_tin', 'additions', 127, 'duration:', '0:05:06.608554')
('08/26/2025, 20:54:03', 'SSP1-PkBudg500-2030', 'MaterialFootprint_titanium', 'additions', 458, 'duration:', '0:05:16.172506')
('08/26/2025, 20:54:03', 'SSP1-PkBudg500-2030', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:05:16.287406')
('08/26/2025, 20:54:06', 'SSP1-PkBudg500-2030', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:05:19.082963')
('08/26/2025, 20:54:06', 'SSP1-PkBudg500-2030', 'MaterialFootprint_vanadium', 'additions', 1, 'duration:', '0:05:19.107382')
('08/26/2025, 20:54:07', 'SSP1-PkBudg500-2030', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:05:19.875026')
('08/26/2025, 20:54:21', 'SSP1-PkBudg500-2030', 'MaterialFootprint_zinc', 'additions', 673, 'duration:', '0:05:33.686862')
('08/26/2025, 20:54:21', 'SSP1-PkBudg500-2030', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:05:33.926786')
('08/26/2025, 20:54:42', 'SSP1-PkBudg500-2030', 'WasteFootprint_carbondioxide-kilogram', 'additions', 1018, 'duration:', '0:05:54.969354')
('08/26/2025, 20:54:42', 'SSP1-PkBudg500-2030', 'WasteFootprint_composting-kilogram', 'additions', 14, 'duration:', '0:05:55.268262')
('08/26/2025, 20:54:42', 'SSP1-PkBudg500-2030', 'WasteFootprint_digestion-cubicmeter', 'additions', 6, 'duration:', '0:05:55.396689')
('08/26/2025, 20:54:42', 'SSP1-PkBudg500-2030', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:05:55.484789')
('08/26/2025, 20:54:49', 'SSP1-PkBudg500-2030', 'WasteFootprint_hazardous-cubicmeter', 'additions', 308, 'duration:', '0:06:01.786448')
('08/26/2025, 20:55:27', 'SSP1-PkBudg500-2030', 'WasteFootprint_hazardous-kilogram', 'additions', 1846, 'duration:', '0:06:39.674773')
('08/26/2025, 20:55:27', 'SSP1-PkBudg500-2030', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:06:39.723727')
('08/26/2025, 20:56:14', 'SSP1-PkBudg500-2030', 'WasteFootprint_incineration-kilogram', 'additions', 2314, 'duration:', '0:07:27.362865')
('08/26/2025, 20:56:14', 'SSP1-PkBudg500-2030', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:07:27.406473')
('08/26/2025, 20:56:49', 'SSP1-PkBudg500-2030', 'WasteFootprint_landfill-kilogram', 'additions', 1680, 'duration:', '0:08:01.955669')
('08/26/2025, 20:57:00', 'SSP1-PkBudg500-2030', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:08:12.793168')
('08/26/2025, 20:57:06', 'SSP1-PkBudg500-2030', 'WasteFootprint_radioactive-cubicmeter', 'additions', 308, 'duration:', '0:08:19.173832')
('08/26/2025, 20:57:08', 'SSP1-PkBudg500-2030', 'WasteFootprint_recycling-kilogram', 'additions', 83, 'duration:', '0:08:20.797751')
('08/26/2025, 20:58:45', 'SSP1-PkBudg500-2030', 'WasteFootprint_total-cubicmeter', 'additions', 4643, 'duration:', '0:09:57.560784')
('08/26/2025, 21:09:10', 'SSP1-PkBudg500-2030', 'WasteFootprint_total-kilogram', 'additions', 30014, 'duration:', '0:20:22.589001')
('08/26/2025, 21:09:59', 'SSP1-PkBudg500-2040', 'MaterialFootprint_aluminium', 'additions', 2123, 'duration:', '0:00:21.223479')
('08/26/2025, 21:09:59', 'SSP1-PkBudg500-2040', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:21.460192')
('08/26/2025, 21:09:59', 'SSP1-PkBudg500-2040', 'MaterialFootprint_bauxite', 'additions', 29, 'duration:', '0:00:21.732448')
('08/26/2025, 21:09:59', 'SSP1-PkBudg500-2040', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:21.748689')
