CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;reference product;unit
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;22e671a4c58243dbb58c02eeb53dd0c2;SSP1-PkBudg500-2040;REF;cement;market for cement mortar;cement mortar;kilogram
216: Vegetable oils;;1040:Manufacture of vegetable and animal oils and fats;72c8c162633f57f8a8679424cf6b588a;SSP1-PkBudg500-2040;GLO;vegetable oil;market for vegetable oil, refined;vegetable oil, refined;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;fd729badec684957a7b457087accac2f;SSP1-PkBudg500-2040;IND;cement;market for cement, CP II-F;cement, CP II-F;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";bc598bd878e54f4e9483034eb18de817;SSP1-PkBudg500-2040;NEU;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
53269: Other constructions for manufacturing;nuclear power/production;4290:Construction of other civil engineering projects;028fc71b84772ce4215cca40ef4507f6;SSP1-PkBudg500-2040;GLO;uranium;market for uranium enrichment diffusion facility;uranium enrichment diffusion facility;unit
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;3e70e4045b998d72cecfaa38cdfd928f;SSP1-PkBudg500-2040;CO;cement;market for cement, type general use;cement, type general use;kilogram
11040: Brown coal briquettes and similar solid fuels manufactured from brown coal;lignite/fuels;1920:Manufacture of refined petroleum products;6e183b093b95ebc20c86c672c353b217;SSP1-PkBudg500-2040;RER;coal(brown);market for lignite briquettes;lignite briquettes;megajoule
69120: Gas distribution through mains (on own account);;"3520:Manufacture of gas; distribution of gaseous fuels through mains";5e026a91d2aa6eccd3f0a0241bc59263;SSP1-PkBudg500-2040;ES;natural gas;market for natural gas, low pressure;natural gas, low pressure;cubic meter
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";e7bb282744e6bbf0ab868a80ba3ce1bd;SSP1-PkBudg500-2040;HU;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;f79cbfe6aaeb92ba784a1dc3c906ad21;SSP1-PkBudg500-2040;ZA;cement;market for cement, CEM II/B-L;cement, CEM II/B-L;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;496ef08ebc0f4b93a8cd0bfff8d787bc;SSP1-PkBudg500-2040;MEA;cement;market for cement, unspecified;cement, unspecified;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;8b0a73c9506c448a9e58a9ab7eb6cc73;SSP1-PkBudg500-2040;IND;cement;market for cement, CP II-E;cement, CP II-E;kilogram
53269: Other constructions for manufacturing;metals/extraction;4100:Construction of buildings;ed2702b4e1708bf43d185d30d01bb225;SSP1-PkBudg500-2040;GLO;copper;market for copper smelting facility;copper smelting facility;unit
41320: Gold (including gold plated with platinum), unwrought or in semi-manufactured forms, or in powder form;metals/extraction;0729:Mining of other non-ferrous metal ores;36312a62a043eb8374d232cf30167c22;SSP1-PkBudg500-2040;GLO;gold;market for gold;gold;kilogram
39310: Slag, dross, scalings and other waste from the manufacture of iron or steel;metals/chipping;"2592:Treatment and coating of metals; machining";bfc72b39858e8987b4662ad78eee6f87;SSP1-PkBudg500-2040;GLO;chromium;market for chromium steel removed by turning, average, computer numerical controlled;chromium steel removed by turning, average, computer numerical controlled;kilogram
39364: Waste and scrap of lead;waste management/residual material landfill;3822:Treatment and disposal of hazardous waste;467e2807c618b1740f07d06dd20282dc;SSP1-PkBudg500-2040;GLO;lead;market for lead smelter slag;lead smelter slag;kilogram
35499: Other chemical products n.e.c.;;2029:Manufacture of other chemical products n.e.c.;22bc62ad4c508d725cc008d15e20256b;SSP1-PkBudg500-2040;RER;indium;market for indium tin oxide powder, nanoscale, for sputtering target;indium tin oxide powder, nanoscale, for sputtering target;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;84d4e2e24a5c4826a97e1e394fa3891b;SSP1-PkBudg500-2040;CHA;hydrogen;market for hydrogen, gaseous, 60-year period;hydrogen, gaseous;kilogram
39310: Slag, dross, scalings and other waste from the manufacture of iron or steel;metals/chipping;"2592:Treatment and coating of metals; machining";4bbbc8e9d6e314598f886a7968c26b90;SSP1-PkBudg500-2040;GLO;chromium;market for chromium steel removed by milling, large parts;chromium steel removed by milling, large parts;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;fb62afff8cec7db4f2a7deddab16b2e6;SSP1-PkBudg500-2040;CA-QC;cement;market for cement, CEM II/A;cement, CEM II/A;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7a78de1df43944f0a8ff6ec08c8d92a6;SSP1-PkBudg500-2040;USA;cement;market for cement, CP III;cement, CP III;kilogram
342: Basic inorganic chemicals n.e.c.;;2011:Manufacture of basic chemicals;76253aca7f4c45701935634546516c34;SSP1-PkBudg500-2040;RER;silicon;market for silicon, single crystal, Czochralski process, electronics;silicon, single crystal, Czochralski process, electronics;kilogram
37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone;construction materials/bricks;2395:Manufacture of articles of concrete, cement and plaster;2706c72e9fd70ec905b3b3c565410e6e;SSP1-PkBudg500-2040;GLO;sand;market for sand-lime brick;sand-lime brick;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;a5f71d2a1b59475fbc77a1750f3db72d;SSP1-PkBudg500-2040;SSA;cement;market for cement, type general use;cement, type general use;kilogram
41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];;0729:Mining of other non-ferrous metal ores;070bf7de73f37c62735c67e93b246a47;SSP1-PkBudg500-2040;GLO;cobalt;market for cobalt oxide;cobalt oxide;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";af7929b977949d47873d533201e9c654;SSP1-PkBudg500-2040;ES;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
12010: Petroleum oils and oils obtained from bituminous minerals, crude;;4661:Wholesale of solid, liquid and gaseous fuels and related products;80fcca8589fedf2ca441140bb8c913e6;SSP1-PkBudg500-2040;RNA;petroleum;market for petroleum;petroleum;kilogram
342: Basic inorganic chemicals n.e.c.;metals/extraction;2011:Manufacture of basic chemicals;ae337939d6b260592d04d58fe36e3ce6;SSP1-PkBudg500-2040;GLO;cadmium;market for cadmium telluride, semiconductor-grade;cadmium telluride, semiconductor-grade;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;19e790efc23a4af2a4ef2bc1187b7a6c;SSP1-PkBudg500-2040;USA;hydrogen;market for hydrogen, gaseous, 40-year period;hydrogen, gaseous;kilogram
"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";metals/extraction;2420:Manufacture of basic precious and other non-ferrous metals;e377a106b47e2561933462fdb23f9588;SSP1-PkBudg500-2040;GLO;tantalum;market for tantalum powder, capacitor-grade;tantalum powder, capacitor-grade;kilogram
12010: Petroleum oils and oils obtained from bituminous minerals, crude;;4661:Wholesale of solid, liquid and gaseous fuels and related products;ffa4308820ee99e0ed078d95d529d837;SSP1-PkBudg500-2040;Europe without Switzerland;petroleum;market for petroleum;petroleum;kilogram
"33100: Coke and semi-coke of coal, of lignite or of peat; retort carbon";hard coal/fuels;1910:Manufacture of coke oven products;402b722aa4a63d94ac64b2ea9e9e1054;SSP1-PkBudg500-2040;GLO;coke;market for coke;coke;megajoule
14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);construction materials/additives;0729:Mining of other non-ferrous metal ores;c3f8dcd117ff5691f137f0957f08e412;SSP1-PkBudg500-2040;GLO;strontium;market for strontium sulfate, 90% SrSO4;strontium sulfate, 90% SrSO4;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;9b337fca5a53429790219363490ee6c0;SSP1-PkBudg500-2040;NEU;cement;market for cement, CEM II/B-V;cement, CEM II/B-V;kilogram
41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […];metals/extraction;0729:Mining of other non-ferrous metal ores;e82e91c0b572e044b71a69b32bf53388;SSP1-PkBudg500-2040;GLO;silver;market for silver;silver;kilogram
41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];metals/extraction;2420:Manufacture of basic precious and other non-ferrous metals;f770ed86e91a27cead5080d19cbcad57;SSP1-PkBudg500-2040;GLO;magnesium;market for magnesium-alloy, AZ91, diecast;magnesium-alloy, AZ91, diecast;kilogram
