location;database;code;name;reference product;unit;Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;log parameters;emptied;activity type
GLO;SSP1-PkBudg500-2040;2821656c3221414f251abb22cfdd098f;market for heat and power co-generation unit, 200kW electrical, diesel SCR, components for heat only;heat and power co-generation unit, 200kW electrical, diesel SCR, components for heat only;unit;29.637482370762413;0.00035600984108;6.11113310857423e-05;0.0772422971943526;1500.304720909249;;;;
RoW;SSP1-PkBudg500-2040;26cb1c48f2bfda87985b892c6c96ad23;market for anhydrite;anhydrite;kilogram;0.0001545939476922;1.7318241365363563e-09;2.5709621607283337e-10;1.6080193114225638e-07;0.0042585911438594;;;;
GLO;SSP1-PkBudg500-2040;cf2af2f1a807e874549efc037bccb781;market for sodium fluoride;sodium fluoride;kilogram;0.0048045977110535;8.27718329527242e-08;8.260152037512958e-09;6.2141245129833565e-06;2.1660479391986622;;;;
GLO;SSP1-PkBudg500-2040;856e61df08151a0ade129c99b8e63b94;market for indium;indium;kilogram;2.6130272374326378;3.966429750495784e-06;5.448140983738785e-07;0.0011754750357439;5.471398537798297;;;;
RoW;SSP1-PkBudg500-2040;d06742a428c788f89d9163d9c6ec8316;market for inorganic phosphorus fertiliser, as P2O5;inorganic phosphorus fertiliser, as P2O5;kilogram;0.0035651635791791;4.39223833275716e-08;1.2500462232225825e-08;6.279395532255728e-06;0.1862484255067178;;;;
GLO;SSP1-PkBudg500-2040;8b3f4764aea20874afc9d741d125dfa7;market for mattress;mattress;unit;3.045434332402438;2.4608170451942027e-06;6.7572891185547e-07;0.000408513033847;13.433560355395052;;;;
GLO;SSP1-PkBudg500-2040;a0cb3a29ef896dea169237cf275d6466;market for urea formaldehyde foam, in situ foaming;urea formaldehyde foam, in situ foaming;kilogram;0.0036758547590753;2.308099764905112e-08;9.940580652439728e-09;5.6686275573554414e-06;0.2664374931552603;;;;
GLO;SSP1-PkBudg500-2040;bed662c65b77a2f151383ef73800c74b;market for nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;kilogram;2.025355704207974;0.0655385216977637;9.197940150241491e-06;0.0166739386132264;175.38680169278211;;;;
GLO;SSP1-PkBudg500-2040;4bbab70f8c40533af6f5dc3018d8139f;market for zinc concentrate;zinc concentrate;kilogram;0.0092370361506311;9.924107682135238e-09;5.649895591269235e-09;1.7863244278996782e-05;0.06918228458835;;;;
GLO;SSP1-PkBudg500-2040;2355b04839bba72cc340a788e233652d;market for container ship;container ship;unit;278408.9645475524;1.3287032796839042;0.2257258548349379;365.2432554624642;5845406.594641724;;;;
GLO;SSP1-PkBudg500-2040;0a53194111cb9168310016ac76b6590f;market for apple;apple;kilogram;0.0010098497637593;4.899794356199247e-09;6.247742130748192e-09;1.2631641913102898e-06;0.0187664240869912;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.\n\nThe time the reefer is in operation is calculated using different average speed of all the different modes of transport (train, lorry, ship, etc.). This parameter presents an additional time during which the reefer is in operation, but is not being transported; the time when the reefer is being transfered from one type of transport to another. ', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;;
GLO;SSP1-PkBudg500-2040;720fd7b617a6c65089ab820d6ef8814d;market for chlorothalonil;chlorothalonil;kilogram;0.0059323005456281;9.804395427261129e-08;9.647641221395357e-09;4.815107935169862e-06;0.393007667540948;;;;
GLO;SSP1-PkBudg500-2040;8e488306be433627c61e4fba4764c3e1;market for isobutyl acetate;isobutyl acetate;kilogram;0.007512968674911;7.509124059843738e-08;1.4429752433518002e-08;6.812999553959398e-06;0.6182741537632498;;;;
GLO;SSP1-PkBudg500-2040;cb1df0a8ab0977367fea18d4ad1b8ea9;market for maize seed, for sowing;maize seed, for sowing;kilogram;0.0021944525161276;3.26571998294337e-08;2.5574172732604973e-08;3.7014263300712734e-06;0.0653899784966499;;;;
