;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;emptied;log parameters
c51186a2547c55ba1ce703c75cd4dc61;GLO;SSP5-Base-2040;c51186a2547c55ba1ce703c75cd4dc61;market for amine oxide;amine oxide;kilogram;3.445384563747453;0.002985297240551549;0.007196468554027234;2.6485454105586264e-08;5.9149796697475766e-08;1.18042912094052e-05;0.4457995641380922;;;
ddb83d9b3333ce3cd85f35228f4bd175;GLO;SSP5-Base-2040;ddb83d9b3333ce3cd85f35228f4bd175;market for malusil;malusil;kilogram;0.02759457751839072;2.745313995575739e-05;5.9797537876797555e-05;6.24588142731121e-10;1.7156937563771227e-10;8.614182655510764e-08;0.012022435291139343;;;
f92aa9782c1c6f2cf9e7e55a27d85c4d;GLO;SSP5-Base-2040;f92aa9782c1c6f2cf9e7e55a27d85c4d;market for furnace, wood chips, hardwood storage area, 300kW;furnace, wood chips, hardwood storage area, 300kW;unit;515615.1678685034;77.86317454026756;36.36437838819757;0.00010738676311605439;0.00011488599452489563;0.06969085622400921;1734.4742467631386;;;
f85abba69e8f922cdb3fa44a849c9b91;GLO;SSP5-Base-2040;f85abba69e8f922cdb3fa44a849c9b91;market for trinexapac-ethyl;trinexapac-ethyl;kilogram;9.302237583389692;0.048221650942183156;1.9719049505010375;1.7557472631394696e-07;7.587657649886822e-08;3.350689358429665e-05;2.0450228557069234;;;
163fde5588ccb1184ec8baf92f48f22a;RoW;SSP5-Base-2040;163fde5588ccb1184ec8baf92f48f22a;market for biomethane, high pressure, vehicle grade;biomethane, high pressure, vehicle grade;kilogram;0.1913966367391271;0.00029432362034043265;0.0009475492794213257;9.508693650109588e-09;7.131734675466127e-09;2.507323521834771e-06;0.04211087687725884;;;
e2642bb27042fa5282ef4bac6351c359;RoW;SSP5-Base-2040;e2642bb27042fa5282ef4bac6351c359;market for zinc monosulfate;zinc monosulfate;kilogram;0.8552303056180611;0.0012766782379875939;0.0042468681968409056;9.497461644947183e-09;1.1932604647879055e-08;1.2547819014437428e-05;0.08876736025664983;;;
38bfa307891b46a64abd11ce053566f4;GLO;SSP5-Base-2040;38bfa307891b46a64abd11ce053566f4;market for dioctyl terephthalate;dioctyl terephthalate;kilogram;1.3345819545270174;0.00948340792689997;0.009513349145296056;4.302587386566082e-08;1.4879727650186966e-08;7.127195725880106e-06;0.7271864250504009;;;
843d0949e9fdb184861a788655f8ca0e;GLO;SSP5-Base-2040;843d0949e9fdb184861a788655f8ca0e;market for coal tar;coal tar;kilogram;0.1302682263378364;0.0003660712397572573;0.00035186028042085164;2.445106793107325e-09;4.883521230529467e-09;3.7295154785145425e-06;0.07356914336345026;;;
8f8323591fbb401627822048a6077a5e;GLO;SSP5-Base-2040;8f8323591fbb401627822048a6077a5e;market for sodium phenolate;sodium phenolate;kilogram;1.5399529741001161;0.004656440580555045;0.009649204480726883;3.201448872389992e-08;1.462533901873482e-08;6.990939516855358e-06;0.6883023632334745;;;
00922060c0e14e463fea9bb044902df4;GLO;SSP5-Base-2040;00922060c0e14e463fea9bb044902df4;market for resistor, wirewound, through-hole mounting;resistor, wirewound, through-hole mounting;kilogram;5.888746368569245;0.11511491831684999;0.017840411456323795;5.283470451758457e-07;1.0498600138590502e-07;6.236805194882934e-05;1.2585574959712638;;;
a32922582fc738f089a0be8b36b6cf54;GLO;SSP5-Base-2040;a32922582fc738f089a0be8b36b6cf54;market for pyrethroid-compound;pyrethroid-compound;kilogram;5.342225597930578;0.028674347805566176;0.024602802168193473;1.2551516907668615e-07;6.609200511246707e-08;3.163277147326007e-05;1.8692597692140143;;;
688c7dd02c07b5293090d38ddc098b29;GLO;SSP5-Base-2040;688c7dd02c07b5293090d38ddc098b29;market for titania slag, 85% titanium dioxide;titania slag, 85% titanium dioxide;kilogram;0.2649066578633325;0.00026120317269306243;0.0005027282791137861;1.2620450095330215e-09;2.530860616248067e-09;1.1216899505308948e-06;0.11962902914234169;;;
3345ab0b61b4f9bebe73ca0b2d17f77d;GLO;SSP5-Base-2040;3345ab0b61b4f9bebe73ca0b2d17f77d;market for aircraft, dedicated freight, medium haul;aircraft, dedicated freight, medium haul;unit;1651698.1192363421;7469.63202666609;75141.85831350954;0.05360524466287439;0.03371964637469208;17.190884625477267;2819179.142508919;;;
8d2681c5aa28f9f3a2309534fc2ced70;GLO;SSP5-Base-2040;8d2681c5aa28f9f3a2309534fc2ced70;market for ferrochromium, high-carbon, 55% Cr;ferrochromium, high-carbon, 55% Cr;kilogram;0.9802859852436968;0.0008305860040925758;0.009578800139172566;2.234849224618433e-08;1.549742805146584e-08;1.2719820323797285e-05;0.1683163322603996;;;
dba873826e4de6475ee72a0fbd28c0e5;GLO;SSP5-Base-2040;dba873826e4de6475ee72a0fbd28c0e5;market for electrolyte, KOH, LiOH additive;electrolyte, KOH, LiOH additive;kilogram;5.458700546581205;0.018768485730569006;0.002320344260080718;4.584527425194782e-08;1.0249732988989227e-08;5.279675969859592e-06;0.8101611485006551;;;
e12a4ef05c574fbfe5bbebc37120c754;GLO;SSP5-Base-2040;e12a4ef05c574fbfe5bbebc37120c754;market for printed wiring board, through-hole mounted, unspecified, Pb free;printed wiring board, through-hole mounted, unspecified, Pb free;kilogram;22.12953254936284;0.5155726884388452;0.9487724017287347;1.1536872358799885e-06;3.3497447264636445e-07;0.0002659333244687987;4.3921968191775065;;;
5dc11bfa4bf1247f83847e5dae499c87;GLO;SSP5-Base-2040;5dc11bfa4bf1247f83847e5dae499c87;market for phenyl acetic acid;phenyl acetic acid;kilogram;2.1434157442052935;0.008948831000398796;0.012271788474858727;4.9544442936621894e-08;2.069858082204312e-08;9.458987436661632e-06;0.815706470817553;;;
2d61fad5617b6a30bdf52dfaeb219a43;GLO;SSP5-Base-2040;2d61fad5617b6a30bdf52dfaeb219a43;market for hydraulic fracturing fluid;hydraulic fracturing fluid;cubic meter;18.310634107584505;0.024412333800331705;0.041154726275461906;1.0340067064679316e-07;1.0679539399830175e-07;4.442620077647495e-05;2.2965989856424187;;;
68100fb44f8ad49379f1607967f495e0;GLO;SSP5-Base-2040;68100fb44f8ad49379f1607967f495e0;market for banana;banana;kilogram;1.0687705478604972;0.0003565832824337453;0.000590582070628741;1.158234839895173e-09;3.792571152967083e-09;1.1333748530435984e-06;0.020609358430212277;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;
84f89e9f29acae674206e9b376bb545d;RoW;SSP5-Base-2040;84f89e9f29acae674206e9b376bb545d;market for paper, woodfree, coated;paper, woodfree, coated;kilogram;0.7462739036270907;0.0013769044392419895;0.0019095239052408703;9.512284837186e-09;1.9501456849326676e-08;4.389521711352347e-06;0.40656349933875574;;;
4e7eec9ccd3bdd8e89cadfb415d3379c;GLO;SSP5-Base-2040;4e7eec9ccd3bdd8e89cadfb415d3379c;market for activated carbon, granular;activated carbon, granular;kilogram;0.4930894087144041;0.0039454028637659075;0.001205863602759411;1.951659843048688e-08;1.4390234801077312e-08;7.056201498868858e-06;0.14219679809969427;;;
74a3370cdca748e28115aa91a34f81d9;GLO;SSP5-Base-2040;74a3370cdca748e28115aa91a34f81d9;market for amidosulfuron;amidosulfuron;kilogram;9.368022314090979;0.025410836466578234;2.6903944631420855;1.6403310102929378e-07;1.5244690577909938e-07;6.982188812550017e-05;1.1550840397274391;;;
debfcecea0a8a943a07ff240355e51c3;GLO;SSP5-Base-2040;debfcecea0a8a943a07ff240355e51c3;market for brass removed by turning, primarily dressing, conventional;brass removed by turning, primarily dressing, conventional;kilogram;14.390244610744833;0.2060909831480585;0.4613241875720563;1.3974985617861143e-07;1.6680007735822556e-07;0.0001679949835651726;0.7285769431152476;;;
e136e2ce2bbc1c5276cbfcbadb81f3f1;GLO;SSP5-Base-2040;e136e2ce2bbc1c5276cbfcbadb81f3f1;market for polystyrene foam slab;polystyrene foam slab;kilogram;0.849919962955382;0.00047728754241548467;0.04422336918603714;1.3866536260370985e-08;1.578779521154584e-08;6.724140573256303e-06;0.7411243495507052;;;
4db9af889571989d121d634e4862aa99;GLO;SSP5-Base-2040;4db9af889571989d121d634e4862aa99;market for cow milk;cow milk;kilogram;1.5161970120086155;0.001345793406689016;0.0013554486510490616;5.4012270634923285e-09;8.658413867680692e-08;3.543378059592661e-06;0.054160256111165074;;;
2ec10b1b64e70e51c42f3cadf61b7271;RoW;SSP5-Base-2040;2ec10b1b64e70e51c42f3cadf61b7271;market for sodium hypochlorite, without water, in 15% solution state;sodium hypochlorite, without water, in 15% solution state;kilogram;1.723992561253616;0.017267332020286116;0.0018471596869492984;5.2573155334445e-08;8.773843299321675e-09;4.506356461821297e-06;0.16663272432648107;;;
688e7b96b7e399ae066bc0e946f018a9;GLO;SSP5-Base-2040;688e7b96b7e399ae066bc0e946f018a9;market for light clay brick;light clay brick;kilogram;0.3179675805752101;0.00025221621513978683;0.0004956719417351066;6.45514379998187e-10;9.704341544589324e-10;3.920690708571202e-07;0.026141022032033803;;;
34b5bcea440e1a55ab677400ba3f4cea;RoW;SSP5-Base-2040;34b5bcea440e1a55ab677400ba3f4cea;market for liquefied petroleum gas;liquefied petroleum gas;kilogram;0.1525496819106876;0.0003532404492274553;0.005642974568902225;1.5623245805106601e-09;4.330614364539964e-09;1.9418001461087426e-06;0.5902867137177513;;;
20c34a745da0dfde20ce5120bcf7dd03;GLO;SSP5-Base-2040;20c34a745da0dfde20ce5120bcf7dd03;market for graphic paper, 100% recycled;graphic paper, 100% recycled;kilogram;0.42870337368134703;0.03439368692275242;0.0011312359011008692;1.8099874934832845e-08;6.2977686374583e-09;2.331470100724091e-06;0.06450743272927902;;;
f934da401a5cf896274df9ea05715b6b;RoW;SSP5-Base-2040;f934da401a5cf896274df9ea05715b6b;market for concrete, 30MPa;concrete, 30MPa;cubic meter;329.71140738907513;0.37969874300779016;0.3318267748928151;9.638150946983087e-07;1.1707154407459086e-06;0.0004954725618990266;14.086534284217526;;;
5d68a7fd42b989d214867478b999a04c;GLO;SSP5-Base-2040;5d68a7fd42b989d214867478b999a04c;market for borehole heat exchanger, 150m;borehole heat exchanger, 150m;unit;10483.177082758106;19.642360984623693;18.1836023925556;7.825539323081505e-06;1.3390171579925337e-05;0.006376360258386342;400.08954028888445;;;
71218481ac8315319b5a9ec48af6a5cc;GLO;SSP5-Base-2040;71218481ac8315319b5a9ec48af6a5cc;market for heat and power co-generation unit, 1MW electrical, components for heat only;heat and power co-generation unit, 1MW electrical, components for heat only;unit;31062.33487088493;421.0059960635314;75.81466498451394;0.0004786702828699774;0.0002166905404879366;0.20710883075076267;5046.358951276632;;;
63ea017e389a07a36765e03be75c2485;RoW;SSP5-Base-2040;63ea017e389a07a36765e03be75c2485;market for aniline;aniline;kilogram;1.7805792388994004;0.0024828714019351633;0.010018106863493496;2.0498775552779384e-08;2.1334243859856688e-08;1.1498270358741476e-05;0.6786266106767029;;;
a618878275594be40595ef331189707b;RoW;SSP5-Base-2040;a618878275594be40595ef331189707b;market for hard coal, run-of-mine;hard coal, run-of-mine;kilogram;0.04210817835564132;0.00012361520921110288;0.00026397257694934384;4.466658064163452e-10;1.3951658524187176e-09;7.380779583599391e-07;0.040906088261560704;;;
b6035e6be316772a9444f6b161da81b5;GLO;SSP5-Base-2040;b6035e6be316772a9444f6b161da81b5;market for ethephon;ethephon;kilogram;3.54467324184266;0.01146371266855285;0.01190396761879695;1.4054274659147045e-07;3.950255350548932e-08;1.5516019556597486e-05;0.9030151171741441;;;
460f39c08e600e8d42f573617d07c573;GLO;SSP5-Base-2040;460f39c08e600e8d42f573617d07c573;market for magnesium chloride, from titanium sponge production;magnesium chloride, from titanium sponge production;kilogram;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
d8df5bd8a8623ef92ee10dd07f6ee7de;GLO;SSP5-Base-2040;d8df5bd8a8623ef92ee10dd07f6ee7de;market for graphite, battery grade;graphite, battery grade;kilogram;0.41333072750821487;0.0007456980185099704;0.0009771762596093836;2.125575312468892e-08;8.200807541133071e-09;5.5954647366458415e-06;0.17309730647641258;;;
873c9c45f45479a9433df9f5a6eb711d;GLO;SSP5-Base-2040;873c9c45f45479a9433df9f5a6eb711d;market for petroleum refinery;petroleum refinery;unit;14533311.272636099;52355.25850983141;15424.930607455726;0.11433934042598201;0.11006931205425305;74.72248597641729;1339612.277664119;;;
840b860a0fb54e43a4d5f0ea9ff7b738;GLO;SSP5-Base-2040;840b860a0fb54e43a4d5f0ea9ff7b738;market for methyl tert-butyl ether;methyl tert-butyl ether;kilogram;0.4718857289365614;0.0004667722452041052;0.006234947955825321;2.0521095615409725e-09;4.621554500384313e-09;2.081209526059191e-06;0.5154632975290426;;;
1b8cbe73a21ba46c2e03297a996d2e7a;GLO;SSP5-Base-2040;1b8cbe73a21ba46c2e03297a996d2e7a;market for butane;butane;kilogram;0.5046381011861889;0.0006791736981338491;0.003311721827632696;5.1044166732724984e-09;4.042494729523541e-09;1.9480478071926154e-06;0.4469876862979033;;;
c677cbb539471e96d0fcef9ae05893fa;RoW;SSP5-Base-2040;c677cbb539471e96d0fcef9ae05893fa;market for polyurethane, flexible foam;polyurethane, flexible foam;kilogram;2.145229579578703;0.003567500893869314;0.1698213243102603;2.523811518856256e-08;2.1854559581059352e-08;1.1464853926954511e-05;0.7412628912649801;;;
a0eb06865e4230e9018112f6db1f0140;RoW;SSP5-Base-2040;a0eb06865e4230e9018112f6db1f0140;market for oriented strand board;oriented strand board;cubic meter;264.53403627280704;0.3975359245757104;0.7122884998527312;2.8935811700434183e-06;1.116827429377657e-05;0.0012544205791752915;37.191129276042766;;;
fd7193b3eee84c1abbaf5b100e9481d6;World;SSP5-Base-2040;fd7193b3eee84c1abbaf5b100e9481d6;market for clinker;clinker;kilogram;0.09076115895409795;0.00013427456929087777;0.0003241740420231541;1.9195969220653254e-09;3.114603173704841e-09;1.2276519796784568e-06;0.02453008828685533;;;
