activity type;database;name;production amount;code;unit;reference product;location;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for oat grain;;9a9e031fcb3d2de282bd3c300f04eaac;kilogram;oat grain;GLO;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1172;Oats, other;AgriForeAnim;Agricultural & forestry products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for sawnwood, lath, hardwood, raw, dried (u=20%);;a448eb1c0f281c27541b2574609cc986;cubic meter;sawnwood, lath, hardwood, raw, dried (u=20%);RoW;16100;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for maize silage, organic;;94e21726c4d74fec0a121481ec7a8de5;kilogram;maize silage, organic;GLO;1190;Growing of other non-perennial crops;1911;Maize for forage and silage;AgriForeAnim;Agricultural & forestry products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for magnetite;;af157c8354816b1c9a1394515062c88e;kilogram;magnetite;GLO;20220;Manufacture of paints, varnishes and similar coatings, printing ink and mas;35130;Printing ink;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for resistor, surface-mounted;;79e04f0f782eea0d15225b8a6887e916;kilogram;resistor, surface-mounted;GLO;26100;Manufacture of electronic components and boards;47120;Electrical resistors (except heating resistors);MachElecTrans;Metal/electronic equipments & parts
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for natural stone plate, grounded;;ae02a6e720d34dafe4d7b23e483f37aa;kilogram;natural stone plate, grounded;GLO;23960;Cutting, shaping and finishing of stone;37690;"Other worked monumental or building stone and articles thereof; other artificially coloured granules, chipping[…]";GlasNonMetal;Glass & other non-metallic products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for iron ore, crude ore, 46% Fe;;d44327e98356daba6cef26f5780d61c4;kilogram;iron ore, crude ore, 46% Fe;GLO;7100;Mining of iron ores;14100;Iron ores and concentrates, other than roasted iron pyrites;OreMinFuel;Ores, minerals & fuels
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for iodine;;725eb7dbb6fc4392a05c5af12f98ac83;kilogram;iodine;GLO;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for heavy water;;14fdba12e9bad5e0f0ca4ff8be3645da;kilogram;heavy water;GLO;20290;Manufacture of other chemical products n.e.c.;34260;Isotopes n.e.c. and compounds thereof (including heavy water);Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for ethylene vinyl acetate copolymer;;f3090a03c98ca644d38936a158ad0989;kilogram;ethylene vinyl acetate copolymer;RoW;20130;Manufacture of plastics and synthetic rubber in primary forms;34700;Plastics in primary forms;PlastRub;Plastics & rubber products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for zucchini;;1fbc88cded34f545b4ba4774e678480a;kilogram;zucchini;GLO;1130;Growing of vegetables and melons, roots and tubers;1235;Pumpkins, squash and gourds;AgriForeAnim;Agricultural & forestry products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for vinyl acetate;;555483f89274428fecc646c962e26084;kilogram;vinyl acetate;GLO;20130;Manufacture of plastics and synthetic rubber in primary forms;34790;"Other plastics in primary forms; ion exchangers";PlastRub;Plastics & rubber products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for glider, passenger car;;e01f270d8d7c3b9db3939fc0cc27b05b;kilogram;glider, passenger car;GLO;29100;Manufacture of motor vehicles;46960;"Parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c. of machinery or apparatus";MachElecTrans;Metal/electronic equipments & parts
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for wood preservative, organic, outdoor use, no ground contact;;d36b474c7c6ba22c9d5500bab684775b;kilogram;wood preservative, organic, outdoor use, no ground contact;GLO;20210;Manufacture of pesticides and other agrochemical products;34500;Miscellaneous basic chemical products;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for sodium percarbonate, powder;;2e6e03e4e33e0ffb0178a83953088330;kilogram;sodium percarbonate, powder;RoW;20230;Manufacture of soap and detergents, cleaning and polishing preparations, pe;35300;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for diode, glass-, for through-hole mounting;;7ec96866b7bbd1bf82435c112d6eba09;kilogram;diode, glass-, for through-hole mounting;GLO;26100;Manufacture of electronic components and boards;47150;"Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]";MachElecTrans;Metal/electronic equipments & parts
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for fish freezing, small fish;;4e499b344e793337e882f3698445019f;kilogram;fish freezing, small fish;GLO;10200;Processing and preserving of fish, crustaceans and molluscs;21222;Fish fillets, frozen;ProcBio;Food & beverages, animal feed
